date,plombier chauffagiste,isPartial
2018-01-07,37,False
2018-01-14,25,False
2018-01-21,24,False
2018-01-28,24,False
2018-02-04,24,False
2018-02-11,49,False
2018-02-18,100,False
2018-02-25,25,False
2018-03-04,26,False
2018-03-11,25,False
2018-03-18,0,False
2018-03-25,25,False
2018-04-01,0,False
2018-04-08,25,False
2018-04-15,26,False
2018-04-22,0,False
2018-04-29,27,False
2018-05-06,0,False
2018-05-13,25,False
2018-05-20,26,False
2018-05-27,25,False
2018-06-03,25,False
2018-06-10,0,False
2018-06-17,38,False
2018-06-24,26,False
2018-07-01,0,False
2018-07-08,27,False
2018-07-15,43,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,29,False
2018-08-12,0,False
2018-08-19,29,False
2018-08-26,0,False
2018-09-02,27,False
2018-09-09,54,False
2018-09-16,0,False
2018-09-23,26,False
2018-09-30,52,False
2018-10-07,53,False
2018-10-14,26,False
2018-10-21,0,False
2018-10-28,52,False
2018-11-04,25,False
2018-11-11,25,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,76,False
2018-12-09,25,False
2018-12-16,26,False
2018-12-23,28,False
2018-12-30,36,False
2019-01-06,25,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,24,False
2019-02-03,37,False
2019-02-10,26,False
2019-02-17,27,False
2019-02-24,50,False
2019-03-03,0,False
2019-03-10,49,False
2019-03-17,39,False
2019-03-24,26,False
2019-03-31,52,False
2019-04-07,27,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,24,False
2019-05-05,24,False
2019-05-12,50,False
2019-05-19,25,False
2019-05-26,25,False
2019-06-02,23,False
2019-06-09,0,False
2019-06-16,25,False
2019-06-23,25,False
2019-06-30,51,False
2019-07-07,0,False
2019-07-14,27,False
2019-07-21,27,False
2019-07-28,28,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,25,False
2019-09-01,24,False
2019-09-08,48,False
2019-09-15,0,False
2019-09-22,44,False
2019-09-29,34,False
2019-10-06,23,False
2019-10-13,23,False
2019-10-20,69,False
2019-10-27,34,False
2019-11-03,33,False
2019-11-10,0,False
2019-11-17,22,False
2019-11-24,21,False
2019-12-01,44,False
2019-12-08,22,False
2019-12-15,22,False
2019-12-22,36,False
2019-12-29,23,False
2020-01-05,21,False
2020-01-12,41,False
2020-01-19,43,False
2020-01-26,21,False
2020-02-02,21,False
2020-02-09,21,False
2020-02-16,44,False
2020-02-23,32,False
2020-03-01,21,False
2020-03-08,20,False
2020-03-15,0,False
2020-03-22,18,False
2020-03-29,17,False
2020-04-05,18,False
2020-04-12,18,False
2020-04-19,37,False
2020-04-26,0,False
2020-05-03,17,False
2020-05-10,18,False
2020-05-17,45,True
