date,plombier chauffagiste,isPartial
2018-01-07,26,False
2018-01-14,26,False
2018-01-21,65,False
2018-01-28,0,False
2018-02-04,51,False
2018-02-11,26,False
2018-02-18,27,False
2018-02-25,40,False
2018-03-04,28,False
2018-03-11,41,False
2018-03-18,54,False
2018-03-25,54,False
2018-04-01,27,False
2018-04-08,35,False
2018-04-15,38,False
2018-04-22,27,False
2018-04-29,29,False
2018-05-06,0,False
2018-05-13,27,False
2018-05-20,56,False
2018-05-27,80,False
2018-06-03,41,False
2018-06-10,26,False
2018-06-17,0,False
2018-06-24,55,False
2018-07-01,26,False
2018-07-08,83,False
2018-07-15,0,False
2018-07-22,30,False
2018-07-29,30,False
2018-08-05,0,False
2018-08-12,32,False
2018-08-19,91,False
2018-08-26,28,False
2018-09-02,47,False
2018-09-09,43,False
2018-09-16,28,False
2018-09-23,28,False
2018-09-30,84,False
2018-10-07,28,False
2018-10-14,99,False
2018-10-21,100,False
2018-10-28,82,False
2018-11-04,45,False
2018-11-11,36,False
2018-11-18,27,False
2018-11-25,27,False
2018-12-02,41,False
2018-12-09,55,False
2018-12-16,65,False
2018-12-23,59,False
2018-12-30,57,False
2019-01-06,27,False
2019-01-13,27,False
2019-01-20,77,False
2019-01-27,43,False
2019-02-03,36,False
2019-02-10,28,False
2019-02-17,29,False
2019-02-24,54,False
2019-03-03,39,False
2019-03-10,27,False
2019-03-17,57,False
2019-03-24,28,False
2019-03-31,28,False
2019-04-07,29,False
2019-04-14,29,False
2019-04-21,53,False
2019-04-28,38,False
2019-05-05,26,False
2019-05-12,54,False
2019-05-19,0,False
2019-05-26,54,False
2019-06-02,25,False
2019-06-09,52,False
2019-06-16,45,False
2019-06-23,0,False
2019-06-30,27,False
2019-07-07,80,False
2019-07-14,28,False
2019-07-21,28,False
2019-07-28,29,False
2019-08-04,30,False
2019-08-11,43,False
2019-08-18,29,False
2019-08-25,26,False
2019-09-01,0,False
2019-09-08,40,False
2019-09-15,65,False
2019-09-22,66,False
2019-09-29,37,False
2019-10-06,41,False
2019-10-13,74,False
2019-10-20,62,False
2019-10-27,32,False
2019-11-03,36,False
2019-11-10,48,False
2019-11-17,40,False
2019-11-24,35,False
2019-12-01,36,False
2019-12-08,36,False
2019-12-15,24,False
2019-12-22,0,False
2019-12-29,49,False
2020-01-05,58,False
2020-01-12,34,False
2020-01-19,32,False
2020-01-26,68,False
2020-02-02,58,False
2020-02-09,34,False
2020-02-16,23,False
2020-02-23,38,False
2020-03-01,33,False
2020-03-08,22,False
2020-03-15,38,False
2020-03-22,74,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,19,False
2020-04-19,19,False
2020-04-26,0,False
2020-05-03,26,False
2020-05-10,38,False
2020-05-17,48,True
