date,kit panneau solaire,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,43,False
2018-01-28,0,False
2018-02-04,43,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,86,False
2018-03-04,65,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,46,False
2018-04-08,90,False
2018-04-15,0,False
2018-04-22,43,False
2018-04-29,42,False
2018-05-06,43,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,43,False
2018-06-03,42,False
2018-06-10,40,False
2018-06-17,65,False
2018-06-24,43,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,42,False
2018-07-22,0,False
2018-07-29,42,False
2018-08-05,39,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,42,False
2018-09-02,43,False
2018-09-09,42,False
2018-09-16,85,False
2018-09-23,0,False
2018-09-30,44,False
2018-10-07,46,False
2018-10-14,44,False
2018-10-21,46,False
2018-10-28,0,False
2018-11-04,84,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,43,False
2018-12-02,88,False
2018-12-09,43,False
2018-12-16,0,False
2018-12-23,100,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,43,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,93,False
2019-02-17,0,False
2019-02-24,49,False
2019-03-03,0,False
2019-03-10,44,False
2019-03-17,45,False
2019-03-24,0,False
2019-03-31,58,False
2019-04-07,0,False
2019-04-14,58,False
2019-04-21,0,False
2019-04-28,54,False
2019-05-05,37,False
2019-05-12,0,False
2019-05-19,36,False
2019-05-26,37,False
2019-06-02,0,False
2019-06-09,52,False
2019-06-16,0,False
2019-06-23,54,False
2019-06-30,69,False
2019-07-07,0,False
2019-07-14,34,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,72,False
2019-08-11,53,False
2019-08-18,56,False
2019-08-25,35,False
2019-09-01,53,False
2019-09-08,35,False
2019-09-15,34,False
2019-09-22,33,False
2019-09-29,33,False
2019-10-06,35,False
2019-10-13,35,False
2019-10-20,0,False
2019-10-27,35,False
2019-11-03,0,False
2019-11-10,34,False
2019-11-17,71,False
2019-11-24,68,False
2019-12-01,0,False
2019-12-08,35,False
2019-12-15,35,False
2019-12-22,38,False
2019-12-29,0,False
2020-01-05,34,False
2020-01-12,32,False
2020-01-19,66,False
2020-01-26,49,False
2020-02-02,34,False
2020-02-09,49,False
2020-02-16,0,False
2020-02-23,33,False
2020-03-01,33,False
2020-03-08,32,False
2020-03-15,30,False
2020-03-22,30,False
2020-03-29,29,False
2020-04-05,0,False
2020-04-12,44,False
2020-04-19,29,False
2020-04-26,42,False
2020-05-03,29,False
2020-05-10,30,False
2020-05-17,32,False
2020-05-24,41,False
2020-05-31,57,False
2020-06-07,58,False
2020-06-14,61,False
2020-06-21,0,True
