date,kit panneau solaire,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,24,False
2018-01-28,25,False
2018-02-04,24,False
2018-02-11,50,False
2018-02-18,52,False
2018-02-25,26,False
2018-03-04,0,False
2018-03-11,100,False
2018-03-18,51,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,38,False
2018-04-15,80,False
2018-04-22,26,False
2018-04-29,39,False
2018-05-06,54,False
2018-05-13,0,False
2018-05-20,51,False
2018-05-27,25,False
2018-06-03,0,False
2018-06-10,24,False
2018-06-17,49,False
2018-06-24,25,False
2018-07-01,24,False
2018-07-08,38,False
2018-07-15,0,False
2018-07-22,57,False
2018-07-29,29,False
2018-08-05,62,False
2018-08-12,32,False
2018-08-19,30,False
2018-08-26,0,False
2018-09-02,25,False
2018-09-09,0,False
2018-09-16,24,False
2018-09-23,25,False
2018-09-30,24,False
2018-10-07,24,False
2018-10-14,0,False
2018-10-21,24,False
2018-10-28,26,False
2018-11-04,36,False
2018-11-11,35,False
2018-11-18,48,False
2018-11-25,25,False
2018-12-02,49,False
2018-12-09,50,False
2018-12-16,0,False
2018-12-23,63,False
2018-12-30,0,False
2019-01-06,25,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,36,False
2019-02-03,23,False
2019-02-10,37,False
2019-02-17,0,False
2019-02-24,38,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,38,False
2019-03-24,26,False
2019-03-31,0,False
2019-04-07,39,False
2019-04-14,52,False
2019-04-21,0,False
2019-04-28,55,False
2019-05-05,27,False
2019-05-12,26,False
2019-05-19,26,False
2019-05-26,27,False
2019-06-02,24,False
2019-06-09,51,False
2019-06-16,26,False
2019-06-23,26,False
2019-06-30,52,False
2019-07-07,40,False
2019-07-14,28,False
2019-07-21,0,False
2019-07-28,31,False
2019-08-04,66,False
2019-08-11,52,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,25,False
2019-09-08,0,False
2019-09-15,50,False
2019-09-22,24,False
2019-09-29,72,False
2019-10-06,0,False
2019-10-13,38,False
2019-10-20,26,False
2019-10-27,0,False
2019-11-03,24,False
2019-11-10,50,False
2019-11-17,25,False
2019-11-24,24,False
2019-12-01,47,False
2019-12-08,0,False
2019-12-15,74,False
2019-12-22,30,False
2019-12-29,28,False
2020-01-05,47,False
2020-01-12,24,False
2020-01-19,24,False
2020-01-26,24,False
2020-02-02,36,False
2020-02-09,24,False
2020-02-16,25,False
2020-02-23,69,False
2020-03-01,23,False
2020-03-08,34,False
2020-03-15,24,False
2020-03-22,49,False
2020-03-29,24,False
2020-04-05,24,False
2020-04-12,25,False
2020-04-19,47,False
2020-04-26,47,False
2020-05-03,56,False
2020-05-10,23,False
2020-05-17,25,False
2020-05-24,23,False
2020-05-31,33,False
2020-06-07,23,False
2020-06-14,35,False
2020-06-21,0,True
