date,costume mariage,isPartial
2018-01-07,21,False
2018-01-14,21,False
2018-01-21,35,False
2018-01-28,42,False
2018-02-04,35,False
2018-02-11,43,False
2018-02-18,29,False
2018-02-25,28,False
2018-03-04,57,False
2018-03-11,27,False
2018-03-18,27,False
2018-03-25,27,False
2018-04-01,84,False
2018-04-08,56,False
2018-04-15,75,False
2018-04-22,22,False
2018-04-29,52,False
2018-05-06,30,False
2018-05-13,49,False
2018-05-20,72,False
2018-05-27,28,False
2018-06-03,35,False
2018-06-10,27,False
2018-06-17,0,False
2018-06-24,50,False
2018-07-01,56,False
2018-07-08,29,False
2018-07-15,32,False
2018-07-22,48,False
2018-07-29,24,False
2018-08-05,33,False
2018-08-12,17,False
2018-08-19,40,False
2018-08-26,45,False
2018-09-02,44,False
2018-09-09,0,False
2018-09-16,28,False
2018-09-23,21,False
2018-09-30,35,False
2018-10-07,36,False
2018-10-14,14,False
2018-10-21,29,False
2018-10-28,29,False
2018-11-04,28,False
2018-11-11,14,False
2018-11-18,14,False
2018-11-25,14,False
2018-12-02,20,False
2018-12-09,14,False
2018-12-16,14,False
2018-12-23,48,False
2018-12-30,31,False
2019-01-06,27,False
2019-01-13,61,False
2019-01-20,39,False
2019-01-27,39,False
2019-02-03,40,False
2019-02-10,100,False
2019-02-17,51,False
2019-02-24,34,False
2019-03-03,33,False
2019-03-10,75,False
2019-03-17,35,False
2019-03-24,28,False
2019-03-31,41,False
2019-04-07,53,False
2019-04-14,44,False
2019-04-21,54,False
2019-04-28,30,False
2019-05-05,41,False
2019-05-12,43,False
2019-05-19,25,False
2019-05-26,36,False
2019-06-02,29,False
2019-06-09,37,False
2019-06-16,45,False
2019-06-23,26,False
2019-06-30,62,False
2019-07-07,13,False
2019-07-14,59,False
2019-07-21,41,False
2019-07-28,34,False
2019-08-04,36,False
2019-08-11,60,False
2019-08-18,23,False
2019-08-25,21,False
2019-09-01,33,False
2019-09-08,55,False
2019-09-15,14,False
2019-09-22,42,False
2019-09-29,34,False
2019-10-06,28,False
2019-10-13,28,False
2019-10-20,29,False
2019-10-27,40,False
2019-11-03,50,False
2019-11-10,22,False
2019-11-17,28,False
2019-11-24,21,False
2019-12-01,18,False
2019-12-08,12,False
2019-12-15,19,False
2019-12-22,27,False
2019-12-29,38,False
2020-01-05,50,False
2020-01-12,63,False
2020-01-19,38,False
2020-01-26,43,False
2020-02-02,26,False
2020-02-09,48,False
2020-02-16,61,False
2020-02-23,22,False
2020-03-01,38,False
2020-03-08,52,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,29,False
2020-04-05,24,False
2020-04-12,26,True
