date,costume mariage,isPartial
2018-01-07,89,False
2018-01-14,29,False
2018-01-21,39,False
2018-01-28,60,False
2018-02-04,51,False
2018-02-11,42,False
2018-02-18,42,False
2018-02-25,61,False
2018-03-04,20,False
2018-03-11,61,False
2018-03-18,31,False
2018-03-25,40,False
2018-04-01,64,False
2018-04-08,62,False
2018-04-15,22,False
2018-04-22,100,False
2018-04-29,58,False
2018-05-06,100,False
2018-05-13,51,False
2018-05-20,21,False
2018-05-27,59,False
2018-06-03,78,False
2018-06-10,65,False
2018-06-17,20,False
2018-06-24,40,False
2018-07-01,48,False
2018-07-08,39,False
2018-07-15,39,False
2018-07-22,19,False
2018-07-29,48,False
2018-08-05,73,False
2018-08-12,56,False
2018-08-19,38,False
2018-08-26,79,False
2018-09-02,49,False
2018-09-09,59,False
2018-09-16,0,False
2018-09-23,61,False
2018-09-30,20,False
2018-10-07,73,False
2018-10-14,21,False
2018-10-21,21,False
2018-10-28,30,False
2018-11-04,39,False
2018-11-11,41,False
2018-11-18,30,False
2018-11-25,20,False
2018-12-02,20,False
2018-12-09,40,False
2018-12-16,21,False
2018-12-23,23,False
2018-12-30,65,False
2019-01-06,20,False
2019-01-13,0,False
2019-01-20,19,False
2019-01-27,77,False
2019-02-03,40,False
2019-02-10,74,False
2019-02-17,64,False
2019-02-24,22,False
2019-03-03,20,False
2019-03-10,40,False
2019-03-17,42,False
2019-03-24,50,False
2019-03-31,44,False
2019-04-07,35,False
2019-04-14,36,False
2019-04-21,71,False
2019-04-28,42,False
2019-05-05,34,False
2019-05-12,59,False
2019-05-19,50,False
2019-05-26,26,False
2019-06-02,62,False
2019-06-09,40,False
2019-06-16,34,False
2019-06-23,42,False
2019-06-30,48,False
2019-07-07,47,False
2019-07-14,32,False
2019-07-21,34,False
2019-07-28,35,False
2019-08-04,50,False
2019-08-11,58,False
2019-08-18,34,False
2019-08-25,41,False
2019-09-01,16,False
2019-09-08,65,False
2019-09-15,39,False
2019-09-22,53,False
2019-09-29,45,False
2019-10-06,33,False
2019-10-13,33,False
2019-10-20,41,False
2019-10-27,40,False
2019-11-03,23,False
2019-11-10,31,False
2019-11-17,17,False
2019-11-24,48,False
2019-12-01,17,False
2019-12-08,16,False
2019-12-15,16,False
2019-12-22,52,False
2019-12-29,25,False
2020-01-05,31,False
2020-01-12,45,False
2020-01-19,46,False
2020-01-26,46,False
2020-02-02,71,False
2020-02-09,38,False
2020-02-16,46,False
2020-02-23,53,False
2020-03-01,45,False
2020-03-08,30,False
2020-03-15,14,False
2020-03-22,28,False
2020-03-29,41,False
2020-04-05,14,False
2020-04-12,0,True
