date,costume mariage,isPartial
2018-01-07,52,False
2018-01-14,38,False
2018-01-21,51,False
2018-01-28,52,False
2018-02-04,52,False
2018-02-11,52,False
2018-02-18,52,False
2018-02-25,64,False
2018-03-04,53,False
2018-03-11,52,False
2018-03-18,52,False
2018-03-25,53,False
2018-04-01,79,False
2018-04-08,27,False
2018-04-15,27,False
2018-04-22,0,False
2018-04-29,41,False
2018-05-06,41,False
2018-05-13,82,False
2018-05-20,54,False
2018-05-27,26,False
2018-06-03,39,False
2018-06-10,50,False
2018-06-17,27,False
2018-06-24,82,False
2018-07-01,65,False
2018-07-08,81,False
2018-07-15,28,False
2018-07-22,54,False
2018-07-29,39,False
2018-08-05,26,False
2018-08-12,52,False
2018-08-19,26,False
2018-08-26,26,False
2018-09-02,27,False
2018-09-09,80,False
2018-09-16,39,False
2018-09-23,27,False
2018-09-30,54,False
2018-10-07,27,False
2018-10-14,0,False
2018-10-21,27,False
2018-10-28,26,False
2018-11-04,38,False
2018-11-11,27,False
2018-11-18,39,False
2018-11-25,26,False
2018-12-02,26,False
2018-12-09,40,False
2018-12-16,27,False
2018-12-23,29,False
2018-12-30,28,False
2019-01-06,26,False
2019-01-13,26,False
2019-01-20,26,False
2019-01-27,75,False
2019-02-03,26,False
2019-02-10,83,False
2019-02-17,27,False
2019-02-24,53,False
2019-03-03,89,False
2019-03-10,39,False
2019-03-17,53,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,55,False
2019-04-14,27,False
2019-04-21,64,False
2019-04-28,0,False
2019-05-05,25,False
2019-05-12,67,False
2019-05-19,52,False
2019-05-26,51,False
2019-06-02,60,False
2019-06-09,49,False
2019-06-16,0,False
2019-06-23,76,False
2019-06-30,53,False
2019-07-07,0,False
2019-07-14,38,False
2019-07-21,51,False
2019-07-28,100,False
2019-08-04,24,False
2019-08-11,23,False
2019-08-18,25,False
2019-08-25,24,False
2019-09-01,61,False
2019-09-08,37,False
2019-09-15,25,False
2019-09-22,59,False
2019-09-29,35,False
2019-10-06,24,False
2019-10-13,48,False
2019-10-20,47,False
2019-10-27,33,False
2019-11-03,0,False
2019-11-10,34,False
2019-11-17,46,False
2019-11-24,22,False
2019-12-01,23,False
2019-12-08,23,False
2019-12-15,0,False
2019-12-22,49,False
2019-12-29,24,False
2020-01-05,56,False
2020-01-12,54,False
2020-01-19,68,False
2020-01-26,43,False
2020-02-02,22,False
2020-02-09,22,False
2020-02-16,33,False
2020-02-23,86,False
2020-03-01,21,False
2020-03-08,41,False
2020-03-15,19,False
2020-03-22,36,False
2020-03-29,18,False
2020-04-05,18,False
2020-04-12,0,True
