date,costume mariage,isPartial
2018-01-07,0,False
2018-01-14,21,False
2018-01-21,42,False
2018-01-28,55,False
2018-02-04,32,False
2018-02-11,11,False
2018-02-18,22,False
2018-02-25,51,False
2018-03-04,21,False
2018-03-11,63,False
2018-03-18,65,False
2018-03-25,44,False
2018-04-01,68,False
2018-04-08,57,False
2018-04-15,61,False
2018-04-22,34,False
2018-04-29,100,False
2018-05-06,84,False
2018-05-13,22,False
2018-05-20,23,False
2018-05-27,56,False
2018-06-03,34,False
2018-06-10,43,False
2018-06-17,35,False
2018-06-24,0,False
2018-07-01,44,False
2018-07-08,23,False
2018-07-15,12,False
2018-07-22,48,False
2018-07-29,60,False
2018-08-05,49,False
2018-08-12,51,False
2018-08-19,24,False
2018-08-26,35,False
2018-09-02,23,False
2018-09-09,23,False
2018-09-16,69,False
2018-09-23,34,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,35,False
2018-10-21,24,False
2018-10-28,45,False
2018-11-04,44,False
2018-11-11,11,False
2018-11-18,11,False
2018-11-25,33,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,11,False
2018-12-23,12,False
2018-12-30,35,False
2019-01-06,43,False
2019-01-13,22,False
2019-01-20,21,False
2019-01-27,41,False
2019-02-03,53,False
2019-02-10,54,False
2019-02-17,44,False
2019-02-24,33,False
2019-03-03,42,False
2019-03-10,64,False
2019-03-17,33,False
2019-03-24,75,False
2019-03-31,72,False
2019-04-07,72,False
2019-04-14,64,False
2019-04-21,21,False
2019-04-28,83,False
2019-05-05,20,False
2019-05-12,61,False
2019-05-19,62,False
2019-05-26,75,False
2019-06-02,41,False
2019-06-09,79,False
2019-06-16,64,False
2019-06-23,53,False
2019-06-30,74,False
2019-07-07,31,False
2019-07-14,32,False
2019-07-21,0,False
2019-07-28,33,False
2019-08-04,0,False
2019-08-11,23,False
2019-08-18,36,False
2019-08-25,44,False
2019-09-01,20,False
2019-09-08,30,False
2019-09-15,40,False
2019-09-22,39,False
2019-09-29,10,False
2019-10-06,30,False
2019-10-13,60,False
2019-10-20,30,False
2019-10-27,29,False
2019-11-03,9,False
2019-11-10,19,False
2019-11-17,9,False
2019-11-24,37,False
2019-12-01,19,False
2019-12-08,9,False
2019-12-15,28,False
2019-12-22,41,False
2019-12-29,0,False
2020-01-05,65,False
2020-01-12,82,False
2020-01-19,46,False
2020-01-26,44,False
2020-02-02,72,False
2020-02-09,61,False
2020-02-16,44,False
2020-02-23,43,False
2020-03-01,80,False
2020-03-08,26,False
2020-03-15,8,False
2020-03-22,8,False
2020-03-29,48,False
2020-04-05,16,False
2020-04-12,29,True
