date,Gazon synthétique,isPartial
2018-01-07,0,False
2018-01-14,16,False
2018-01-21,16,False
2018-01-28,16,False
2018-02-04,17,False
2018-02-11,17,False
2018-02-18,0,False
2018-02-25,17,False
2018-03-04,0,False
2018-03-11,16,False
2018-03-18,40,False
2018-03-25,40,False
2018-04-01,22,False
2018-04-08,32,False
2018-04-15,35,False
2018-04-22,50,False
2018-04-29,43,False
2018-05-06,29,False
2018-05-13,16,False
2018-05-20,17,False
2018-05-27,16,False
2018-06-03,24,False
2018-06-10,16,False
2018-06-17,22,False
2018-06-24,17,False
2018-07-01,33,False
2018-07-08,17,False
2018-07-15,18,False
2018-07-22,0,False
2018-07-29,18,False
2018-08-05,0,False
2018-08-12,39,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,34,False
2018-09-09,0,False
2018-09-16,16,False
2018-09-23,0,False
2018-09-30,16,False
2018-10-07,0,False
2018-10-14,17,False
2018-10-21,17,False
2018-10-28,17,False
2018-11-04,0,False
2018-11-11,16,False
2018-11-18,0,False
2018-11-25,16,False
2018-12-02,16,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,18,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,15,False
2019-01-27,15,False
2019-02-03,31,False
2019-02-10,33,False
2019-02-17,17,False
2019-02-24,40,False
2019-03-03,15,False
2019-03-10,16,False
2019-03-17,24,False
2019-03-24,16,False
2019-03-31,16,False
2019-04-07,15,False
2019-04-14,34,False
2019-04-21,32,False
2019-04-28,27,False
2019-05-05,13,False
2019-05-12,21,False
2019-05-19,14,False
2019-05-26,33,False
2019-06-02,27,False
2019-06-09,0,False
2019-06-16,38,False
2019-06-23,23,False
2019-06-30,36,False
2019-07-07,15,False
2019-07-14,23,False
2019-07-21,16,False
2019-07-28,23,False
2019-08-04,0,False
2019-08-11,17,False
2019-08-18,26,False
2019-08-25,16,False
2019-09-01,15,False
2019-09-08,16,False
2019-09-15,16,False
2019-09-22,21,False
2019-09-29,13,False
2019-10-06,21,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,13,False
2019-11-03,13,False
2019-11-10,26,False
2019-11-17,13,False
2019-11-24,25,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,14,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,13,False
2020-01-12,25,False
2020-01-19,0,False
2020-01-26,0,False
2020-02-02,16,False
2020-02-09,12,False
2020-02-16,13,False
2020-02-23,19,False
2020-03-01,19,False
2020-03-08,16,False
2020-03-15,15,False
2020-03-22,28,False
2020-03-29,15,False
2020-04-05,60,False
2020-04-12,53,False
2020-04-19,53,False
2020-04-26,31,False
2020-05-03,64,False
2020-05-10,38,False
2020-05-17,39,False
2020-05-24,23,False
2020-05-31,100,False
2020-06-07,22,False
2020-06-14,35,False
2020-06-21,90,True
