date,Gazon synthétique,isPartial
2018-01-07,27,False
2018-01-14,12,False
2018-01-21,11,False
2018-01-28,14,False
2018-02-04,21,False
2018-02-11,9,False
2018-02-18,11,False
2018-02-25,9,False
2018-03-04,20,False
2018-03-11,16,False
2018-03-18,20,False
2018-03-25,22,False
2018-04-01,25,False
2018-04-08,25,False
2018-04-15,44,False
2018-04-22,52,False
2018-04-29,23,False
2018-05-06,38,False
2018-05-13,14,False
2018-05-20,28,False
2018-05-27,13,False
2018-06-03,10,False
2018-06-10,20,False
2018-06-17,10,False
2018-06-24,19,False
2018-07-01,15,False
2018-07-08,21,False
2018-07-15,18,False
2018-07-22,18,False
2018-07-29,27,False
2018-08-05,15,False
2018-08-12,23,False
2018-08-19,23,False
2018-08-26,12,False
2018-09-02,15,False
2018-09-09,16,False
2018-09-16,15,False
2018-09-23,12,False
2018-09-30,13,False
2018-10-07,17,False
2018-10-14,12,False
2018-10-21,12,False
2018-10-28,9,False
2018-11-04,0,False
2018-11-11,13,False
2018-11-18,8,False
2018-11-25,11,False
2018-12-02,6,False
2018-12-09,9,False
2018-12-16,6,False
2018-12-23,6,False
2018-12-30,0,False
2019-01-06,5,False
2019-01-13,6,False
2019-01-20,11,False
2019-01-27,14,False
2019-02-03,5,False
2019-02-10,16,False
2019-02-17,19,False
2019-02-24,31,False
2019-03-03,16,False
2019-03-10,29,False
2019-03-17,23,False
2019-03-24,25,False
2019-03-31,26,False
2019-04-07,17,False
2019-04-14,29,False
2019-04-21,27,False
2019-04-28,28,False
2019-05-05,31,False
2019-05-12,21,False
2019-05-19,40,False
2019-05-26,46,False
2019-06-02,30,False
2019-06-09,20,False
2019-06-16,23,False
2019-06-23,36,False
2019-06-30,25,False
2019-07-07,9,False
2019-07-14,9,False
2019-07-21,13,False
2019-07-28,14,False
2019-08-04,19,False
2019-08-11,16,False
2019-08-18,12,False
2019-08-25,11,False
2019-09-01,8,False
2019-09-08,10,False
2019-09-15,5,False
2019-09-22,5,False
2019-09-29,5,False
2019-10-06,9,False
2019-10-13,5,False
2019-10-20,8,False
2019-10-27,5,False
2019-11-03,5,False
2019-11-10,7,False
2019-11-17,10,False
2019-11-24,7,False
2019-12-01,5,False
2019-12-08,7,False
2019-12-15,5,False
2019-12-22,8,False
2019-12-29,5,False
2020-01-05,9,False
2020-01-12,0,False
2020-01-19,14,False
2020-01-26,9,False
2020-02-02,12,False
2020-02-09,12,False
2020-02-16,12,False
2020-02-23,15,False
2020-03-01,19,False
2020-03-08,12,False
2020-03-15,21,False
2020-03-22,15,False
2020-03-29,21,False
2020-04-05,36,False
2020-04-12,39,False
2020-04-19,55,False
2020-04-26,42,False
2020-05-03,56,False
2020-05-10,39,False
2020-05-17,74,False
2020-05-24,76,False
2020-05-31,53,False
2020-06-07,33,False
2020-06-14,28,False
2020-06-21,100,True
