date,Gazon synthétique,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,17,False
2018-01-28,17,False
2018-02-04,18,False
2018-02-11,18,False
2018-02-18,26,False
2018-02-25,17,False
2018-03-04,0,False
2018-03-11,0,False
2018-03-18,18,False
2018-03-25,18,False
2018-04-01,18,False
2018-04-08,45,False
2018-04-15,31,False
2018-04-22,35,False
2018-04-29,19,False
2018-05-06,37,False
2018-05-13,19,False
2018-05-20,0,False
2018-05-27,18,False
2018-06-03,35,False
2018-06-10,17,False
2018-06-17,18,False
2018-06-24,0,False
2018-07-01,18,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,37,False
2018-07-29,18,False
2018-08-05,0,False
2018-08-12,53,False
2018-08-19,27,False
2018-08-26,18,False
2018-09-02,54,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,19,False
2018-10-21,18,False
2018-10-28,18,False
2018-11-04,17,False
2018-11-11,18,False
2018-11-18,18,False
2018-11-25,18,False
2018-12-02,0,False
2018-12-09,18,False
2018-12-16,18,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,19,False
2019-02-17,18,False
2019-02-24,18,False
2019-03-03,17,False
2019-03-10,18,False
2019-03-17,18,False
2019-03-24,19,False
2019-03-31,36,False
2019-04-07,19,False
2019-04-14,19,False
2019-04-21,17,False
2019-04-28,28,False
2019-05-05,34,False
2019-05-12,24,False
2019-05-19,18,False
2019-05-26,18,False
2019-06-02,65,False
2019-06-09,0,False
2019-06-16,23,False
2019-06-23,34,False
2019-06-30,17,False
2019-07-07,17,False
2019-07-14,17,False
2019-07-21,61,False
2019-07-28,0,False
2019-08-04,24,False
2019-08-11,16,False
2019-08-18,34,False
2019-08-25,0,False
2019-09-01,17,False
2019-09-08,0,False
2019-09-15,17,False
2019-09-22,16,False
2019-09-29,16,False
2019-10-06,16,False
2019-10-13,16,False
2019-10-20,0,False
2019-10-27,30,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,16,False
2019-12-22,17,False
2019-12-29,16,False
2020-01-05,15,False
2020-01-12,0,False
2020-01-19,16,False
2020-01-26,0,False
2020-02-02,22,False
2020-02-09,15,False
2020-02-16,30,False
2020-02-23,29,False
2020-03-01,14,False
2020-03-08,14,False
2020-03-15,13,False
2020-03-22,12,False
2020-03-29,18,False
2020-04-05,67,False
2020-04-12,29,False
2020-04-19,37,False
2020-04-26,35,False
2020-05-03,32,False
2020-05-10,22,False
2020-05-17,84,False
2020-05-24,41,False
2020-05-31,52,False
2020-06-07,32,False
2020-06-14,20,False
2020-06-21,100,True
