date,Innenausbau,isPartial
2018-01-07,0,False
2018-01-14,51,False
2018-01-21,35,False
2018-01-28,59,False
2018-02-04,75,False
2018-02-11,71,False
2018-02-18,35,False
2018-02-25,53,False
2018-03-04,0,False
2018-03-11,0,False
2018-03-18,36,False
2018-03-25,50,False
2018-04-01,39,False
2018-04-08,38,False
2018-04-15,39,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,0,False
2018-05-13,37,False
2018-05-20,77,False
2018-05-27,72,False
2018-06-03,36,False
2018-06-10,35,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,35,False
2018-07-15,38,False
2018-07-22,37,False
2018-07-29,0,False
2018-08-05,37,False
2018-08-12,55,False
2018-08-19,36,False
2018-08-26,36,False
2018-09-02,37,False
2018-09-09,37,False
2018-09-16,49,False
2018-09-23,54,False
2018-09-30,36,False
2018-10-07,73,False
2018-10-14,0,False
2018-10-21,37,False
2018-10-28,0,False
2018-11-04,35,False
2018-11-11,35,False
2018-11-18,33,False
2018-11-25,35,False
2018-12-02,0,False
2018-12-09,34,False
2018-12-16,0,False
2018-12-23,36,False
2018-12-30,0,False
2019-01-06,32,False
2019-01-13,32,False
2019-01-20,32,False
2019-01-27,33,False
2019-02-03,34,False
2019-02-10,66,False
2019-02-17,0,False
2019-02-24,33,False
2019-03-03,32,False
2019-03-10,32,False
2019-03-17,33,False
2019-03-24,34,False
2019-03-31,71,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,36,False
2019-04-28,33,False
2019-05-05,33,False
2019-05-12,34,False
2019-05-19,0,False
2019-05-26,100,False
2019-06-02,33,False
2019-06-09,66,False
2019-06-16,0,False
2019-06-23,34,False
2019-06-30,0,False
2019-07-07,34,False
2019-07-14,35,False
2019-07-21,0,False
2019-07-28,32,False
2019-08-04,33,False
2019-08-11,32,False
2019-08-18,32,False
2019-08-25,32,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,32,False
2019-09-22,32,False
2019-09-29,47,False
2019-10-06,99,False
2019-10-13,64,False
2019-10-20,0,False
2019-10-27,46,False
2019-11-03,29,False
2019-11-10,60,False
2019-11-17,30,False
2019-11-24,29,False
2019-12-01,0,False
2019-12-08,30,False
2019-12-15,0,False
2019-12-22,32,False
2019-12-29,61,False
2020-01-05,43,False
2020-01-12,28,False
2020-01-19,29,False
2020-01-26,57,False
2020-02-02,30,False
2020-02-09,28,False
2020-02-16,56,False
2020-02-23,27,False
2020-03-01,0,False
2020-03-08,26,False
2020-03-15,99,False
2020-03-22,24,False
2020-03-29,39,False
2020-04-05,54,False
2020-04-12,77,False
2020-04-19,0,False
2020-04-26,32,False
2020-05-03,24,False
2020-05-10,25,False
