date,Innenausbau,isPartial
2018-01-07,20,False
2018-01-14,61,False
2018-01-21,47,False
2018-01-28,65,False
2018-02-04,34,False
2018-02-11,62,False
2018-02-18,41,False
2018-02-25,30,False
2018-03-04,100,False
2018-03-11,20,False
2018-03-18,40,False
2018-03-25,32,False
2018-04-01,32,False
2018-04-08,31,False
2018-04-15,63,False
2018-04-22,30,False
2018-04-29,21,False
2018-05-06,21,False
2018-05-13,32,False
2018-05-20,41,False
2018-05-27,39,False
2018-06-03,30,False
2018-06-10,0,False
2018-06-17,29,False
2018-06-24,27,False
2018-07-01,61,False
2018-07-08,41,False
2018-07-15,32,False
2018-07-22,21,False
2018-07-29,21,False
2018-08-05,39,False
2018-08-12,19,False
2018-08-19,19,False
2018-08-26,20,False
2018-09-02,30,False
2018-09-09,20,False
2018-09-16,20,False
2018-09-23,20,False
2018-09-30,20,False
2018-10-07,31,False
2018-10-14,20,False
2018-10-21,38,False
2018-10-28,31,False
2018-11-04,31,False
2018-11-11,26,False
2018-11-18,19,False
2018-11-25,19,False
2018-12-02,19,False
2018-12-09,39,False
2018-12-16,98,False
2018-12-23,0,False
2018-12-30,27,False
2019-01-06,24,False
2019-01-13,30,False
2019-01-20,27,False
2019-01-27,30,False
2019-02-03,37,False
2019-02-10,25,False
2019-02-17,40,False
2019-02-24,0,False
2019-03-03,55,False
2019-03-10,31,False
2019-03-17,39,False
2019-03-24,38,False
2019-03-31,19,False
2019-04-07,29,False
2019-04-14,20,False
2019-04-21,47,False
2019-04-28,24,False
2019-05-05,30,False
2019-05-12,28,False
2019-05-19,25,False
2019-05-26,57,False
2019-06-02,31,False
2019-06-09,25,False
2019-06-16,65,False
2019-06-23,57,False
2019-06-30,25,False
2019-07-07,19,False
2019-07-14,20,False
2019-07-21,28,False
2019-07-28,20,False
2019-08-04,40,False
2019-08-11,0,False
2019-08-18,38,False
2019-08-25,37,False
2019-09-01,45,False
2019-09-08,19,False
2019-09-15,57,False
2019-09-22,19,False
2019-09-29,0,False
2019-10-06,24,False
2019-10-13,19,False
2019-10-20,28,False
2019-10-27,18,False
2019-11-03,34,False
2019-11-10,17,False
2019-11-17,17,False
2019-11-24,86,False
2019-12-01,18,False
2019-12-08,44,False
2019-12-15,18,False
2019-12-22,26,False
2019-12-29,18,False
2020-01-05,41,False
2020-01-12,38,False
2020-01-19,50,False
2020-01-26,27,False
2020-02-02,24,False
2020-02-09,26,False
2020-02-16,42,False
2020-02-23,40,False
2020-03-01,32,False
2020-03-08,15,False
2020-03-15,0,False
2020-03-22,15,False
2020-03-29,36,False
2020-04-05,16,False
2020-04-12,62,False
2020-04-19,15,False
2020-04-26,20,False
2020-05-03,45,False
2020-05-10,25,False
