date,tarta boda,isPartial
2018-01-07,0,False
2018-01-14,27,False
2018-01-21,40,False
2018-01-28,40,False
2018-02-04,0,False
2018-02-11,54,False
2018-02-18,41,False
2018-02-25,53,False
2018-03-04,52,False
2018-03-11,52,False
2018-03-18,27,False
2018-03-25,70,False
2018-04-01,40,False
2018-04-08,38,False
2018-04-15,26,False
2018-04-22,26,False
2018-04-29,60,False
2018-05-06,52,False
2018-05-13,41,False
2018-05-20,39,False
2018-05-27,0,False
2018-06-03,52,False
2018-06-10,26,False
2018-06-17,28,False
2018-06-24,0,False
2018-07-01,29,False
2018-07-08,59,False
2018-07-15,31,False
2018-07-22,33,False
2018-07-29,34,False
2018-08-05,0,False
2018-08-12,77,False
2018-08-19,54,False
2018-08-26,48,False
2018-09-02,56,False
2018-09-09,27,False
2018-09-16,52,False
2018-09-23,26,False
2018-09-30,26,False
2018-10-07,0,False
2018-10-14,26,False
2018-10-21,52,False
2018-10-28,27,False
2018-11-04,35,False
2018-11-11,24,False
2018-11-18,24,False
2018-11-25,35,False
2018-12-02,25,False
2018-12-09,26,False
2018-12-16,0,False
2018-12-23,48,False
2018-12-30,0,False
2019-01-06,67,False
2019-01-13,50,False
2019-01-20,0,False
2019-01-27,22,False
2019-02-03,50,False
2019-02-10,25,False
2019-02-17,25,False
2019-02-24,23,False
2019-03-03,26,False
2019-03-10,39,False
2019-03-17,39,False
2019-03-24,0,False
2019-03-31,50,False
2019-04-07,45,False
2019-04-14,0,False
2019-04-21,50,False
2019-04-28,27,False
2019-05-05,80,False
2019-05-12,63,False
2019-05-19,100,False
2019-05-26,73,False
2019-06-02,24,False
2019-06-09,47,False
2019-06-16,78,False
2019-06-23,53,False
2019-06-30,55,False
2019-07-07,39,False
2019-07-14,88,False
2019-07-21,43,False
2019-07-28,33,False
2019-08-04,0,False
2019-08-11,57,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,61,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,36,False
2019-09-29,0,False
2019-10-06,24,False
2019-10-13,34,False
2019-10-20,23,False
2019-10-27,24,False
2019-11-03,22,False
2019-11-10,22,False
2019-11-17,23,False
2019-11-24,33,False
2019-12-01,24,False
2019-12-08,24,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,21,False
2020-01-19,43,False
2020-01-26,22,False
2020-02-02,87,False
2020-02-09,22,False
2020-02-16,44,False
2020-02-23,33,False
2020-03-01,64,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,21,False
2020-03-29,42,False
2020-04-05,44,False
2020-04-12,0,True
