date,déboucher wc,isPartial
2018-01-07,43,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,43,False
2018-02-04,0,False
2018-02-11,43,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,0,False
2018-03-18,43,False
2018-03-25,44,False
2018-04-01,45,False
2018-04-08,45,False
2018-04-15,49,False
2018-04-22,45,False
2018-04-29,0,False
2018-05-06,47,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,48,False
2018-08-05,49,False
2018-08-12,50,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,46,False
2018-09-23,45,False
2018-09-30,45,False
2018-10-07,0,False
2018-10-14,47,False
2018-10-21,47,False
2018-10-28,0,False
2018-11-04,44,False
2018-11-11,0,False
2018-11-18,43,False
2018-11-25,44,False
2018-12-02,44,False
2018-12-09,90,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,46,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,62,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,43,False
2019-02-17,45,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,42,False
2019-03-17,45,False
2019-03-24,0,False
2019-03-31,41,False
2019-04-07,41,False
2019-04-14,43,False
2019-04-21,85,False
2019-04-28,0,False
2019-05-05,60,False
2019-05-12,41,False
2019-05-19,40,False
2019-05-26,87,False
2019-06-02,0,False
2019-06-09,39,False
2019-06-16,42,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,87,False
2019-08-04,44,False
2019-08-11,47,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,40,False
2019-09-08,40,False
2019-09-15,39,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,40,False
2019-10-20,40,False
2019-10-27,77,False
2019-11-03,75,False
2019-11-10,38,False
2019-11-17,38,False
2019-11-24,0,False
2019-12-01,55,False
2019-12-08,0,False
2019-12-15,37,False
2019-12-22,41,False
2019-12-29,39,False
2020-01-05,37,False
2020-01-12,0,False
2020-01-19,37,False
2020-01-26,0,False
2020-02-02,36,False
2020-02-09,0,False
2020-02-16,35,False
2020-02-23,46,False
2020-03-01,35,False
2020-03-08,34,False
2020-03-15,100,False
2020-03-22,0,False
2020-03-29,65,False
2020-04-05,0,False
2020-04-12,54,False
2020-04-19,33,False
2020-04-26,0,False
2020-05-03,32,False
2020-05-10,32,False
2020-05-17,81,True
