date,fleur de mariage,isPartial
2018-01-07,36,False
2018-01-14,18,False
2018-01-21,53,False
2018-01-28,63,False
2018-02-04,69,False
2018-02-11,27,False
2018-02-18,48,False
2018-02-25,29,False
2018-03-04,27,False
2018-03-11,64,False
2018-03-18,73,False
2018-03-25,37,False
2018-04-01,57,False
2018-04-08,46,False
2018-04-15,79,False
2018-04-22,19,False
2018-04-29,66,False
2018-05-06,39,False
2018-05-13,100,False
2018-05-20,65,False
2018-05-27,36,False
2018-06-03,44,False
2018-06-10,35,False
2018-06-17,26,False
2018-06-24,63,False
2018-07-01,35,False
2018-07-08,37,False
2018-07-15,0,False
2018-07-22,31,False
2018-07-29,43,False
2018-08-05,34,False
2018-08-12,95,False
2018-08-19,65,False
2018-08-26,49,False
2018-09-02,37,False
2018-09-09,45,False
2018-09-16,63,False
2018-09-23,54,False
2018-09-30,54,False
2018-10-07,26,False
2018-10-14,60,False
2018-10-21,26,False
2018-10-28,76,False
2018-11-04,44,False
2018-11-11,26,False
2018-11-18,27,False
2018-11-25,36,False
2018-12-02,45,False
2018-12-09,92,False
2018-12-16,37,False
2018-12-23,0,False
2018-12-30,62,False
2019-01-06,36,False
2019-01-13,36,False
2019-01-20,35,False
2019-01-27,44,False
2019-02-03,67,False
2019-02-10,35,False
2019-02-17,18,False
2019-02-24,37,False
2019-03-03,71,False
2019-03-10,36,False
2019-03-17,37,False
2019-03-24,19,False
2019-03-31,73,False
2019-04-07,48,False
2019-04-14,48,False
2019-04-21,41,False
2019-04-28,80,False
2019-05-05,39,False
2019-05-12,58,False
2019-05-19,94,False
2019-05-26,78,False
2019-06-02,52,False
2019-06-09,57,False
2019-06-16,47,False
2019-06-23,19,False
2019-06-30,57,False
2019-07-07,29,False
2019-07-14,62,False
2019-07-21,33,False
2019-07-28,46,False
2019-08-04,24,False
2019-08-11,25,False
2019-08-18,0,False
2019-08-25,94,False
2019-09-01,37,False
2019-09-08,83,False
2019-09-15,36,False
2019-09-22,72,False
2019-09-29,53,False
2019-10-06,46,False
2019-10-13,0,False
2019-10-20,56,False
2019-10-27,28,False
2019-11-03,18,False
2019-11-10,18,False
2019-11-17,0,False
2019-11-24,18,False
2019-12-01,0,False
2019-12-08,17,False
2019-12-15,18,False
2019-12-22,0,False
2019-12-29,40,False
2020-01-05,35,False
2020-01-12,26,False
2020-01-19,36,False
2020-01-26,26,False
2020-02-02,44,False
2020-02-09,18,False
2020-02-16,54,False
2020-02-23,17,False
2020-03-01,25,False
2020-03-08,66,False
2020-03-15,18,False
2020-03-22,18,False
2020-03-29,36,False
2020-04-05,36,False
2020-04-12,43,True
