date,Wand farbig streichen,isPartial
2018-01-07,27,False
2018-01-14,39,False
2018-01-21,26,False
2018-01-28,0,False
2018-02-04,36,False
2018-02-11,54,False
2018-02-18,27,False
2018-02-25,27,False
2018-03-04,68,False
2018-03-11,36,False
2018-03-18,27,False
2018-03-25,29,False
2018-04-01,29,False
2018-04-08,0,False
2018-04-15,42,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,28,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,26,False
2018-06-17,27,False
2018-06-24,55,False
2018-07-01,54,False
2018-07-08,54,False
2018-07-15,0,False
2018-07-22,37,False
2018-07-29,28,False
2018-08-05,28,False
2018-08-12,28,False
2018-08-19,70,False
2018-08-26,28,False
2018-09-02,37,False
2018-09-09,68,False
2018-09-16,27,False
2018-09-23,27,False
2018-09-30,55,False
2018-10-07,55,False
2018-10-14,81,False
2018-10-21,26,False
2018-10-28,27,False
2018-11-04,39,False
2018-11-11,35,False
2018-11-18,0,False
2018-11-25,52,False
2018-12-02,52,False
2018-12-09,53,False
2018-12-16,27,False
2018-12-23,0,False
2018-12-30,28,False
2019-01-06,25,False
2019-01-13,49,False
2019-01-20,49,False
2019-01-27,25,False
2019-02-03,38,False
2019-02-10,26,False
2019-02-17,38,False
2019-02-24,65,False
2019-03-03,50,False
2019-03-10,0,False
2019-03-17,52,False
2019-03-24,52,False
2019-03-31,26,False
2019-04-07,26,False
2019-04-14,38,False
2019-04-21,41,False
2019-04-28,68,False
2019-05-05,25,False
2019-05-12,39,False
2019-05-19,25,False
2019-05-26,26,False
2019-06-02,25,False
2019-06-09,39,False
2019-06-16,53,False
2019-06-23,0,False
2019-06-30,26,False
2019-07-07,34,False
2019-07-14,26,False
2019-07-21,0,False
2019-07-28,41,False
2019-08-04,69,False
2019-08-11,39,False
2019-08-18,40,False
2019-08-25,39,False
2019-09-01,59,False
2019-09-08,26,False
2019-09-15,26,False
2019-09-22,33,False
2019-09-29,34,False
2019-10-06,100,False
2019-10-13,57,False
2019-10-20,41,False
2019-10-27,24,False
2019-11-03,35,False
2019-11-10,24,False
2019-11-17,39,False
2019-11-24,35,False
2019-12-01,48,False
2019-12-08,24,False
2019-12-15,32,False
2019-12-22,28,False
2019-12-29,39,False
2020-01-05,23,False
2020-01-12,45,False
2020-01-19,34,False
2020-01-26,23,False
2020-02-02,23,False
2020-02-09,22,False
2020-02-16,23,False
2020-02-23,33,False
2020-03-01,22,False
2020-03-08,21,False
2020-03-15,41,False
2020-03-22,34,False
2020-03-29,41,False
2020-04-05,59,False
2020-04-12,36,False
2020-04-19,28,False
2020-04-26,30,False
2020-05-03,61,False
2020-05-10,21,False
2020-05-17,50,True
