date,torta al caffè,isPartial
2018-01-07,14,False
2018-01-14,14,False
2018-01-21,18,False
2018-01-28,25,False
2018-02-04,13,False
2018-02-11,17,False
2018-02-18,30,False
2018-02-25,28,False
2018-03-04,15,False
2018-03-11,32,False
2018-03-18,33,False
2018-03-25,28,False
2018-04-01,15,False
2018-04-08,13,False
2018-04-15,15,False
2018-04-22,18,False
2018-04-29,18,False
2018-05-06,18,False
2018-05-13,14,False
2018-05-20,19,False
2018-05-27,10,False
2018-06-03,15,False
2018-06-10,28,False
2018-06-17,9,False
2018-06-24,16,False
2018-07-01,12,False
2018-07-08,13,False
2018-07-15,11,False
2018-07-22,22,False
2018-07-29,19,False
2018-08-05,23,False
2018-08-12,17,False
2018-08-19,9,False
2018-08-26,19,False
2018-09-02,12,False
2018-09-09,14,False
2018-09-16,15,False
2018-09-23,20,False
2018-09-30,32,False
2018-10-07,10,False
2018-10-14,33,False
2018-10-21,21,False
2018-10-28,23,False
2018-11-04,25,False
2018-11-11,21,False
2018-11-18,22,False
2018-11-25,19,False
2018-12-02,16,False
2018-12-09,22,False
2018-12-16,15,False
2018-12-23,13,False
2018-12-30,16,False
2019-01-06,6,False
2019-01-13,9,False
2019-01-20,17,False
2019-01-27,27,False
2019-02-03,16,False
2019-02-10,24,False
2019-02-17,17,False
2019-02-24,15,False
2019-03-03,10,False
2019-03-10,31,False
2019-03-17,37,False
2019-03-24,14,False
2019-03-31,25,False
2019-04-07,18,False
2019-04-14,13,False
2019-04-21,12,False
2019-04-28,12,False
2019-05-05,14,False
2019-05-12,13,False
2019-05-19,10,False
2019-05-26,15,False
2019-06-02,15,False
2019-06-09,18,False
2019-06-16,15,False
2019-06-23,24,False
2019-06-30,15,False
2019-07-07,13,False
2019-07-14,20,False
2019-07-21,30,False
2019-07-28,14,False
2019-08-04,25,False
2019-08-11,18,False
2019-08-18,17,False
2019-08-25,26,False
2019-09-01,14,False
2019-09-08,17,False
2019-09-15,21,False
2019-09-22,15,False
2019-09-29,16,False
2019-10-06,21,False
2019-10-13,17,False
2019-10-20,28,False
2019-10-27,24,False
2019-11-03,30,False
2019-11-10,28,False
2019-11-17,28,False
2019-11-24,29,False
2019-12-01,15,False
2019-12-08,14,False
2019-12-15,11,False
2019-12-22,16,False
2019-12-29,22,False
2020-01-05,9,False
2020-01-12,10,False
2020-01-19,10,False
2020-01-26,22,False
2020-02-02,17,False
2020-02-09,17,False
2020-02-16,26,False
2020-02-23,11,False
2020-03-01,27,False
2020-03-08,35,False
2020-03-15,85,False
2020-03-22,77,False
2020-03-29,100,False
2020-04-05,75,False
2020-04-12,60,False
2020-04-19,84,False
2020-04-26,87,True
