date,torta al caffè,isPartial
2018-01-07,24,False
2018-01-14,24,False
2018-01-21,0,False
2018-01-28,35,False
2018-02-04,23,False
2018-02-11,35,False
2018-02-18,0,False
2018-02-25,32,False
2018-03-04,46,False
2018-03-11,47,False
2018-03-18,22,False
2018-03-25,36,False
2018-04-01,74,False
2018-04-08,24,False
2018-04-15,24,False
2018-04-22,25,False
2018-04-29,0,False
2018-05-06,0,False
2018-05-13,24,False
2018-05-20,24,False
2018-05-27,0,False
2018-06-03,24,False
2018-06-10,22,False
2018-06-17,23,False
2018-06-24,0,False
2018-07-01,23,False
2018-07-08,23,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,23,False
2018-08-05,0,False
2018-08-12,20,False
2018-08-19,0,False
2018-08-26,20,False
2018-09-02,22,False
2018-09-09,23,False
2018-09-16,46,False
2018-09-23,23,False
2018-09-30,0,False
2018-10-07,24,False
2018-10-14,24,False
2018-10-21,24,False
2018-10-28,36,False
2018-11-04,46,False
2018-11-11,24,False
2018-11-18,59,False
2018-11-25,23,False
2018-12-02,25,False
2018-12-09,24,False
2018-12-16,24,False
2018-12-23,26,False
2018-12-30,35,False
2019-01-06,23,False
2019-01-13,23,False
2019-01-20,21,False
2019-01-27,21,False
2019-02-03,21,False
2019-02-10,21,False
2019-02-17,22,False
2019-02-24,21,False
2019-03-03,0,False
2019-03-10,22,False
2019-03-17,56,False
2019-03-24,22,False
2019-03-31,33,False
2019-04-07,54,False
2019-04-14,0,False
2019-04-21,23,False
2019-04-28,0,False
2019-05-05,64,False
2019-05-12,21,False
2019-05-19,21,False
2019-05-26,30,False
2019-06-02,22,False
2019-06-09,22,False
2019-06-16,0,False
2019-06-23,22,False
2019-06-30,22,False
2019-07-07,20,False
2019-07-14,0,False
2019-07-21,22,False
2019-07-28,21,False
2019-08-04,21,False
2019-08-11,0,False
2019-08-18,41,False
2019-08-25,21,False
2019-09-01,20,False
2019-09-08,20,False
2019-09-15,20,False
2019-09-22,20,False
2019-09-29,41,False
2019-10-06,21,False
2019-10-13,53,False
2019-10-20,0,False
2019-10-27,20,False
2019-11-03,0,False
2019-11-10,20,False
2019-11-17,20,False
2019-11-24,20,False
2019-12-01,20,False
2019-12-08,0,False
2019-12-15,21,False
2019-12-22,0,False
2019-12-29,31,False
2020-01-05,0,False
2020-01-12,28,False
2020-01-19,19,False
2020-01-26,29,False
2020-02-02,0,False
2020-02-09,0,False
2020-02-16,29,False
2020-02-23,27,False
2020-03-01,54,False
2020-03-08,17,False
2020-03-15,49,False
2020-03-22,15,False
2020-03-29,62,False
2020-04-05,50,False
2020-04-12,17,False
2020-04-19,100,False
2020-04-26,70,True
