date,torta al caffè,isPartial
2018-01-07,0,False
2018-01-14,25,False
2018-01-21,62,False
2018-01-28,50,False
2018-02-04,24,False
2018-02-11,25,False
2018-02-18,51,False
2018-02-25,78,False
2018-03-04,26,False
2018-03-11,26,False
2018-03-18,66,False
2018-03-25,28,False
2018-04-01,29,False
2018-04-08,26,False
2018-04-15,27,False
2018-04-22,28,False
2018-04-29,0,False
2018-05-06,27,False
2018-05-13,27,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,49,False
2018-06-17,26,False
2018-06-24,39,False
2018-07-01,27,False
2018-07-08,26,False
2018-07-15,54,False
2018-07-22,26,False
2018-07-29,0,False
2018-08-05,25,False
2018-08-12,25,False
2018-08-19,0,False
2018-08-26,25,False
2018-09-02,25,False
2018-09-09,0,False
2018-09-16,25,False
2018-09-23,25,False
2018-09-30,0,False
2018-10-07,26,False
2018-10-14,26,False
2018-10-21,0,False
2018-10-28,26,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,27,False
2018-12-02,0,False
2018-12-09,55,False
2018-12-16,29,False
2018-12-23,30,False
2018-12-30,27,False
2019-01-06,51,False
2019-01-13,38,False
2019-01-20,24,False
2019-01-27,25,False
2019-02-03,24,False
2019-02-10,49,False
2019-02-17,25,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,38,False
2019-03-17,76,False
2019-03-24,25,False
2019-03-31,0,False
2019-04-07,26,False
2019-04-14,39,False
2019-04-21,54,False
2019-04-28,0,False
2019-05-05,25,False
2019-05-12,0,False
2019-05-19,25,False
2019-05-26,35,False
2019-06-02,0,False
2019-06-09,53,False
2019-06-16,27,False
2019-06-23,52,False
2019-06-30,27,False
2019-07-07,26,False
2019-07-14,26,False
2019-07-21,26,False
2019-07-28,39,False
2019-08-04,0,False
2019-08-11,39,False
2019-08-18,36,False
2019-08-25,23,False
2019-09-01,23,False
2019-09-08,73,False
2019-09-15,0,False
2019-09-22,48,False
2019-09-29,25,False
2019-10-06,36,False
2019-10-13,0,False
2019-10-20,35,False
2019-10-27,0,False
2019-11-03,24,False
2019-11-10,74,False
2019-11-17,25,False
2019-11-24,49,False
2019-12-01,51,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,55,False
2019-12-29,26,False
2020-01-05,25,False
2020-01-12,59,False
2020-01-19,24,False
2020-01-26,24,False
2020-02-02,23,False
2020-02-09,48,False
2020-02-16,0,False
2020-02-23,0,False
2020-03-01,67,False
2020-03-08,41,False
2020-03-15,100,False
2020-03-22,57,False
2020-03-29,87,False
2020-04-05,93,False
2020-04-12,63,False
2020-04-19,96,False
2020-04-26,34,True
