date,sacchetti portaconfetti,isPartial
2018-01-07,73,False
2018-01-14,36,False
2018-01-21,69,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,35,False
2018-02-18,69,False
2018-02-25,34,False
2018-03-04,33,False
2018-03-11,50,False
2018-03-18,34,False
2018-03-25,53,False
2018-04-01,0,False
2018-04-08,67,False
2018-04-15,35,False
2018-04-22,0,False
2018-04-29,35,False
2018-05-06,0,False
2018-05-13,33,False
2018-05-20,0,False
2018-05-27,34,False
2018-06-03,35,False
2018-06-10,34,False
2018-06-17,35,False
2018-06-24,53,False
2018-07-01,0,False
2018-07-08,35,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,38,False
2018-08-05,0,False
2018-08-12,47,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,0,False
2018-09-09,65,False
2018-09-16,32,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,33,False
2018-10-14,68,False
2018-10-21,33,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,33,False
2018-11-18,0,False
2018-11-25,33,False
2018-12-02,0,False
2018-12-09,32,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,33,False
2019-01-13,63,False
2019-01-20,32,False
2019-01-27,47,False
2019-02-03,48,False
2019-02-10,32,False
2019-02-17,0,False
2019-02-24,33,False
2019-03-03,33,False
2019-03-10,33,False
2019-03-17,100,False
2019-03-24,51,False
2019-03-31,34,False
2019-04-07,66,False
2019-04-14,34,False
2019-04-21,38,False
2019-04-28,52,False
2019-05-05,66,False
2019-05-12,49,False
2019-05-19,32,False
2019-05-26,0,False
2019-06-02,34,False
2019-06-09,33,False
2019-06-16,33,False
2019-06-23,0,False
2019-06-30,34,False
2019-07-07,34,False
2019-07-14,35,False
2019-07-21,36,False
2019-07-28,37,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,42,False
2019-08-25,37,False
2019-09-01,0,False
2019-09-08,32,False
2019-09-15,31,False
2019-09-22,31,False
2019-09-29,0,False
2019-10-06,31,False
2019-10-13,31,False
2019-10-20,30,False
2019-10-27,0,False
2019-11-03,30,False
2019-11-10,30,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,31,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,0,False
2020-01-19,30,False
2020-01-26,28,False
2020-02-02,84,False
2020-02-09,29,False
2020-02-16,29,False
2020-02-23,27,False
2020-03-01,54,False
2020-03-08,0,False
2020-03-15,27,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,0,True
