date,sacchetti portaconfetti,isPartial
2018-01-07,33,False
2018-01-14,59,False
2018-01-21,42,False
2018-01-28,32,False
2018-02-04,68,False
2018-02-11,37,False
2018-02-18,41,False
2018-02-25,76,False
2018-03-04,20,False
2018-03-11,68,False
2018-03-18,42,False
2018-03-25,33,False
2018-04-01,17,False
2018-04-08,42,False
2018-04-15,22,False
2018-04-22,45,False
2018-04-29,48,False
2018-05-06,37,False
2018-05-13,37,False
2018-05-20,26,False
2018-05-27,54,False
2018-06-03,21,False
2018-06-10,51,False
2018-06-17,32,False
2018-06-24,54,False
2018-07-01,26,False
2018-07-08,32,False
2018-07-15,22,False
2018-07-22,27,False
2018-07-29,22,False
2018-08-05,17,False
2018-08-12,24,False
2018-08-19,12,False
2018-08-26,16,False
2018-09-02,10,False
2018-09-09,26,False
2018-09-16,36,False
2018-09-23,31,False
2018-09-30,16,False
2018-10-07,32,False
2018-10-14,27,False
2018-10-21,37,False
2018-10-28,21,False
2018-11-04,30,False
2018-11-11,16,False
2018-11-18,21,False
2018-11-25,16,False
2018-12-02,21,False
2018-12-09,11,False
2018-12-16,0,False
2018-12-23,12,False
2018-12-30,17,False
2019-01-06,37,False
2019-01-13,26,False
2019-01-20,30,False
2019-01-27,44,False
2019-02-03,100,False
2019-02-10,30,False
2019-02-17,26,False
2019-02-24,25,False
2019-03-03,11,False
2019-03-10,47,False
2019-03-17,43,False
2019-03-24,32,False
2019-03-31,37,False
2019-04-07,57,False
2019-04-14,32,False
2019-04-21,17,False
2019-04-28,42,False
2019-05-05,86,False
2019-05-12,35,False
2019-05-19,45,False
2019-05-26,29,False
2019-06-02,21,False
2019-06-09,21,False
2019-06-16,37,False
2019-06-23,21,False
2019-06-30,54,False
2019-07-07,46,False
2019-07-14,21,False
2019-07-21,16,False
2019-07-28,33,False
2019-08-04,17,False
2019-08-11,0,False
2019-08-18,22,False
2019-08-25,25,False
2019-09-01,14,False
2019-09-08,40,False
2019-09-15,24,False
2019-09-22,39,False
2019-09-29,15,False
2019-10-06,20,False
2019-10-13,0,False
2019-10-20,14,False
2019-10-27,29,False
2019-11-03,23,False
2019-11-10,10,False
2019-11-17,0,False
2019-11-24,9,False
2019-12-01,20,False
2019-12-08,10,False
2019-12-15,10,False
2019-12-22,0,False
2019-12-29,11,False
2020-01-05,34,False
2020-01-12,36,False
2020-01-19,50,False
2020-01-26,68,False
2020-02-02,18,False
2020-02-09,28,False
2020-02-16,37,False
2020-02-23,35,False
2020-03-01,26,False
2020-03-08,8,False
2020-03-15,17,False
2020-03-22,19,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,17,False
2020-04-19,0,False
2020-04-26,42,True
