date,Stromlaufplan,isPartial
2018-01-07,35,False
2018-01-14,0,False
2018-01-21,70,False
2018-01-28,47,False
2018-02-04,24,False
2018-02-11,24,False
2018-02-18,23,False
2018-02-25,70,False
2018-03-04,23,False
2018-03-11,23,False
2018-03-18,24,False
2018-03-25,38,False
2018-04-01,65,False
2018-04-08,25,False
2018-04-15,38,False
2018-04-22,38,False
2018-04-29,26,False
2018-05-06,51,False
2018-05-13,24,False
2018-05-20,25,False
2018-05-27,26,False
2018-06-03,49,False
2018-06-10,47,False
2018-06-17,36,False
2018-06-24,24,False
2018-07-01,24,False
2018-07-08,0,False
2018-07-15,26,False
2018-07-22,0,False
2018-07-29,26,False
2018-08-05,0,False
2018-08-12,26,False
2018-08-19,25,False
2018-08-26,0,False
2018-09-02,49,False
2018-09-09,25,False
2018-09-16,25,False
2018-09-23,0,False
2018-09-30,24,False
2018-10-07,37,False
2018-10-14,0,False
2018-10-21,25,False
2018-10-28,50,False
2018-11-04,24,False
2018-11-11,24,False
2018-11-18,35,False
2018-11-25,71,False
2018-12-02,36,False
2018-12-09,0,False
2018-12-16,25,False
2018-12-23,0,False
2018-12-30,24,False
2019-01-06,45,False
2019-01-13,22,False
2019-01-20,44,False
2019-01-27,0,False
2019-02-03,57,False
2019-02-10,23,False
2019-02-17,34,False
2019-02-24,22,False
2019-03-03,0,False
2019-03-10,55,False
2019-03-17,58,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,47,False
2019-04-14,76,False
2019-04-21,0,False
2019-04-28,23,False
2019-05-05,23,False
2019-05-12,23,False
2019-05-19,23,False
2019-05-26,23,False
2019-06-02,24,False
2019-06-09,36,False
2019-06-16,0,False
2019-06-23,24,False
2019-06-30,0,False
2019-07-07,69,False
2019-07-14,25,False
2019-07-21,0,False
2019-07-28,36,False
2019-08-04,25,False
2019-08-11,73,False
2019-08-18,58,False
2019-08-25,58,False
2019-09-01,22,False
2019-09-08,23,False
2019-09-15,23,False
2019-09-22,0,False
2019-09-29,22,False
2019-10-06,44,False
2019-10-13,44,False
2019-10-20,66,False
2019-10-27,44,False
2019-11-03,43,False
2019-11-10,21,False
2019-11-17,43,False
2019-11-24,43,False
2019-12-01,86,False
2019-12-08,86,False
2019-12-15,44,False
2019-12-22,0,False
2019-12-29,45,False
2020-01-05,41,False
2020-01-12,29,False
2020-01-19,20,False
2020-01-26,39,False
2020-02-02,30,False
2020-02-09,40,False
2020-02-16,100,False
2020-02-23,19,False
2020-03-01,39,False
2020-03-08,28,False
2020-03-15,19,False
2020-03-22,55,False
2020-03-29,46,False
2020-04-05,41,False
2020-04-12,20,False
2020-04-19,48,False
2020-04-26,38,False
2020-05-03,49,False
2020-05-10,39,False
2020-05-17,21,False
2020-05-24,19,False
2020-05-31,30,False
2020-06-07,30,False
2020-06-14,57,False
2020-06-21,20,False
2020-06-28,40,False
2020-07-05,21,False
