date,Garagendach abdichten,isPartial
2018-01-07,30,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,30,False
2018-02-04,31,False
2018-02-11,31,False
2018-02-18,30,False
2018-02-25,0,False
2018-03-04,40,False
2018-03-11,60,False
2018-03-18,46,False
2018-03-25,64,False
2018-04-01,49,False
2018-04-08,31,False
2018-04-15,32,False
2018-04-22,31,False
2018-04-29,32,False
2018-05-06,48,False
2018-05-13,31,False
2018-05-20,0,False
2018-05-27,31,False
2018-06-03,31,False
2018-06-10,50,False
2018-06-17,30,False
2018-06-24,31,False
2018-07-01,31,False
2018-07-08,45,False
2018-07-15,31,False
2018-07-22,0,False
2018-07-29,32,False
2018-08-05,42,False
2018-08-12,64,False
2018-08-19,79,False
2018-08-26,64,False
2018-09-02,78,False
2018-09-09,77,False
2018-09-16,31,False
2018-09-23,63,False
2018-09-30,31,False
2018-10-07,31,False
2018-10-14,31,False
2018-10-21,30,False
2018-10-28,75,False
2018-11-04,29,False
2018-11-11,30,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,45,False
2018-12-16,31,False
2018-12-23,35,False
2018-12-30,32,False
2019-01-06,28,False
2019-01-13,28,False
2019-01-20,28,False
2019-01-27,28,False
2019-02-03,29,False
2019-02-10,43,False
2019-02-17,29,False
2019-02-24,30,False
2019-03-03,29,False
2019-03-10,28,False
2019-03-17,44,False
2019-03-24,58,False
2019-03-31,39,False
2019-04-07,58,False
2019-04-14,32,False
2019-04-21,61,False
2019-04-28,43,False
2019-05-05,56,False
2019-05-12,29,False
2019-05-19,85,False
2019-05-26,30,False
2019-06-02,0,False
2019-06-09,30,False
2019-06-16,90,False
2019-06-23,29,False
2019-06-30,29,False
2019-07-07,29,False
2019-07-14,30,False
2019-07-21,42,False
2019-07-28,61,False
2019-08-04,52,False
2019-08-11,0,False
2019-08-18,30,False
2019-08-25,74,False
2019-09-01,28,False
2019-09-08,29,False
2019-09-15,30,False
2019-09-22,57,False
2019-09-29,29,False
2019-10-06,57,False
2019-10-13,56,False
2019-10-20,28,False
2019-10-27,54,False
2019-11-03,27,False
2019-11-10,54,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,27,False
2019-12-08,27,False
2019-12-15,28,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,25,False
2020-01-19,26,False
2020-01-26,25,False
2020-02-02,26,False
2020-02-09,25,False
2020-02-16,39,False
2020-02-23,51,False
2020-03-01,100,False
2020-03-08,24,False
2020-03-15,23,False
2020-03-22,31,False
2020-03-29,23,False
2020-04-05,51,False
2020-04-12,32,False
2020-04-19,24,False
2020-04-26,46,False
2020-05-03,47,False
2020-05-10,35,False
