date,tagli di capelli corti,isPartial
2018-01-07,0,False
2018-01-14,43,False
2018-01-21,100,False
2018-01-28,20,False
2018-02-04,79,False
2018-02-11,42,False
2018-02-18,42,False
2018-02-25,31,False
2018-03-04,42,False
2018-03-11,32,False
2018-03-18,22,False
2018-03-25,22,False
2018-04-01,34,False
2018-04-08,0,False
2018-04-15,34,False
2018-04-22,34,False
2018-04-29,0,False
2018-05-06,32,False
2018-05-13,43,False
2018-05-20,0,False
2018-05-27,44,False
2018-06-03,64,False
2018-06-10,84,False
2018-06-17,0,False
2018-06-24,24,False
2018-07-01,59,False
2018-07-08,23,False
2018-07-15,36,False
2018-07-22,37,False
2018-07-29,0,False
2018-08-05,29,False
2018-08-12,32,False
2018-08-19,29,False
2018-08-26,50,False
2018-09-02,24,False
2018-09-09,35,False
2018-09-16,23,False
2018-09-23,23,False
2018-09-30,46,False
2018-10-07,23,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,44,False
2018-11-18,31,False
2018-11-25,32,False
2018-12-02,33,False
2018-12-09,22,False
2018-12-16,46,False
2018-12-23,26,False
2018-12-30,24,False
2019-01-06,21,False
2019-01-13,21,False
2019-01-20,40,False
2019-01-27,20,False
2019-02-03,30,False
2019-02-10,40,False
2019-02-17,20,False
2019-02-24,21,False
2019-03-03,22,False
2019-03-10,42,False
2019-03-17,21,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,41,False
2019-04-14,53,False
2019-04-21,81,False
2019-04-28,22,False
2019-05-05,21,False
2019-05-12,62,False
2019-05-19,81,False
2019-05-26,40,False
2019-06-02,41,False
2019-06-09,40,False
2019-06-16,31,False
2019-06-23,21,False
2019-06-30,42,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,34,False
2019-07-28,47,False
2019-08-04,36,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,21,False
2019-09-01,19,False
2019-09-08,0,False
2019-09-15,39,False
2019-09-22,20,False
2019-09-29,80,False
2019-10-06,20,False
2019-10-13,0,False
2019-10-20,19,False
2019-10-27,29,False
2019-11-03,28,False
2019-11-10,38,False
2019-11-17,19,False
2019-11-24,27,False
2019-12-01,19,False
2019-12-08,20,False
2019-12-15,19,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,37,False
2020-01-12,35,False
2020-01-19,27,False
2020-01-26,17,False
2020-02-02,17,False
2020-02-09,18,False
2020-02-16,26,False
2020-02-23,33,False
2020-03-01,17,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,15,False
2020-03-29,0,False
2020-04-05,16,False
2020-04-12,0,False
2020-04-19,16,False
2020-04-26,27,True
