date,tagli di capelli corti,isPartial
2018-01-07,58,False
2018-01-14,23,False
2018-01-21,68,False
2018-01-28,0,False
2018-02-04,44,False
2018-02-11,64,False
2018-02-18,51,False
2018-02-25,30,False
2018-03-04,51,False
2018-03-11,62,False
2018-03-18,41,False
2018-03-25,22,False
2018-04-01,80,False
2018-04-08,21,False
2018-04-15,32,False
2018-04-22,22,False
2018-04-29,32,False
2018-05-06,31,False
2018-05-13,41,False
2018-05-20,41,False
2018-05-27,64,False
2018-06-03,54,False
2018-06-10,41,False
2018-06-17,20,False
2018-06-24,22,False
2018-07-01,64,False
2018-07-08,21,False
2018-07-15,66,False
2018-07-22,22,False
2018-07-29,67,False
2018-08-05,83,False
2018-08-12,42,False
2018-08-19,43,False
2018-08-26,49,False
2018-09-02,32,False
2018-09-09,41,False
2018-09-16,30,False
2018-09-23,61,False
2018-09-30,41,False
2018-10-07,21,False
2018-10-14,21,False
2018-10-21,51,False
2018-10-28,40,False
2018-11-04,39,False
2018-11-11,20,False
2018-11-18,0,False
2018-11-25,41,False
2018-12-02,38,False
2018-12-09,21,False
2018-12-16,45,False
2018-12-23,27,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,22,False
2019-01-20,53,False
2019-01-27,57,False
2019-02-03,44,False
2019-02-10,22,False
2019-02-17,23,False
2019-02-24,100,False
2019-03-03,24,False
2019-03-10,23,False
2019-03-17,48,False
2019-03-24,23,False
2019-03-31,23,False
2019-04-07,21,False
2019-04-14,22,False
2019-04-21,26,False
2019-04-28,0,False
2019-05-05,20,False
2019-05-12,43,False
2019-05-19,55,False
2019-05-26,53,False
2019-06-02,67,False
2019-06-09,45,False
2019-06-16,47,False
2019-06-23,24,False
2019-06-30,48,False
2019-07-07,33,False
2019-07-14,73,False
2019-07-21,24,False
2019-07-28,0,False
2019-08-04,27,False
2019-08-11,60,False
2019-08-18,85,False
2019-08-25,62,False
2019-09-01,42,False
2019-09-08,45,False
2019-09-15,21,False
2019-09-22,22,False
2019-09-29,22,False
2019-10-06,44,False
2019-10-13,0,False
2019-10-20,43,False
2019-10-27,33,False
2019-11-03,21,False
2019-11-10,0,False
2019-11-17,32,False
2019-11-24,21,False
2019-12-01,67,False
2019-12-08,22,False
2019-12-15,45,False
2019-12-22,27,False
2019-12-29,26,False
2020-01-05,22,False
2020-01-12,41,False
2020-01-19,42,False
2020-01-26,41,False
2020-02-02,0,False
2020-02-09,31,False
2020-02-16,42,False
2020-02-23,40,False
2020-03-01,20,False
2020-03-08,0,False
2020-03-15,20,False
2020-03-22,28,False
2020-03-29,19,False
2020-04-05,20,False
2020-04-12,40,False
2020-04-19,19,False
2020-04-26,0,True
