date,tagli di capelli corti,isPartial
2018-01-07,48,False
2018-01-14,31,False
2018-01-21,31,False
2018-01-28,61,False
2018-02-04,46,False
2018-02-11,0,False
2018-02-18,30,False
2018-02-25,29,False
2018-03-04,45,False
2018-03-11,30,False
2018-03-18,31,False
2018-03-25,64,False
2018-04-01,34,False
2018-04-08,63,False
2018-04-15,63,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,30,False
2018-05-13,0,False
2018-05-20,64,False
2018-05-27,79,False
2018-06-03,31,False
2018-06-10,31,False
2018-06-17,0,False
2018-06-24,64,False
2018-07-01,0,False
2018-07-08,61,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,33,False
2018-08-05,52,False
2018-08-12,0,False
2018-08-19,34,False
2018-08-26,31,False
2018-09-02,46,False
2018-09-09,46,False
2018-09-16,31,False
2018-09-23,61,False
2018-09-30,31,False
2018-10-07,63,False
2018-10-14,63,False
2018-10-21,63,False
2018-10-28,31,False
2018-11-04,0,False
2018-11-11,47,False
2018-11-18,30,False
2018-11-25,30,False
2018-12-02,32,False
2018-12-09,47,False
2018-12-16,33,False
2018-12-23,100,False
2018-12-30,38,False
2019-01-06,33,False
2019-01-13,61,False
2019-01-20,0,False
2019-01-27,30,False
2019-02-03,45,False
2019-02-10,31,False
2019-02-17,0,False
2019-02-24,31,False
2019-03-03,64,False
2019-03-10,32,False
2019-03-17,31,False
2019-03-24,31,False
2019-03-31,31,False
2019-04-07,31,False
2019-04-14,32,False
2019-04-21,35,False
2019-04-28,32,False
2019-05-05,31,False
2019-05-12,29,False
2019-05-19,59,False
2019-05-26,57,False
2019-06-02,31,False
2019-06-09,31,False
2019-06-16,31,False
2019-06-23,32,False
2019-06-30,64,False
2019-07-07,44,False
2019-07-14,30,False
2019-07-21,31,False
2019-07-28,62,False
2019-08-04,50,False
2019-08-11,0,False
2019-08-18,47,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,56,False
2019-09-22,28,False
2019-09-29,29,False
2019-10-06,29,False
2019-10-13,29,False
2019-10-20,42,False
2019-10-27,57,False
2019-11-03,55,False
2019-11-10,56,False
2019-11-17,28,False
2019-11-24,27,False
2019-12-01,57,False
2019-12-08,29,False
2019-12-15,29,False
2019-12-22,35,False
2019-12-29,33,False
2020-01-05,28,False
2020-01-12,0,False
2020-01-19,53,False
2020-01-26,39,False
2020-02-02,26,False
2020-02-09,27,False
2020-02-16,79,False
2020-02-23,24,False
2020-03-01,49,False
2020-03-08,0,False
2020-03-15,49,False
2020-03-22,22,False
2020-03-29,23,False
2020-04-05,24,False
2020-04-12,0,False
2020-04-19,23,False
2020-04-26,0,True
