date,Pflanzen,isPartial
2018-01-07,9,False
2018-01-14,9,False
2018-01-21,9,False
2018-01-28,14,False
2018-02-04,9,False
2018-02-11,20,False
2018-02-18,9,False
2018-02-25,9,False
2018-03-04,18,False
2018-03-11,19,False
2018-03-18,24,False
2018-03-25,20,False
2018-04-01,33,False
2018-04-08,54,False
2018-04-15,47,False
2018-04-22,38,False
2018-04-29,36,False
2018-05-06,33,False
2018-05-13,37,False
2018-05-20,41,False
2018-05-27,29,False
2018-06-03,48,False
2018-06-10,19,False
2018-06-17,30,False
2018-06-24,13,False
2018-07-01,23,False
2018-07-08,24,False
2018-07-15,42,False
2018-07-22,13,False
2018-07-29,20,False
2018-08-05,24,False
2018-08-12,15,False
2018-08-19,29,False
2018-08-26,18,False
2018-09-02,11,False
2018-09-09,28,False
2018-09-16,11,False
2018-09-23,14,False
2018-09-30,16,False
2018-10-07,14,False
2018-10-14,17,False
2018-10-21,15,False
2018-10-28,20,False
2018-11-04,11,False
2018-11-11,6,False
2018-11-18,8,False
2018-11-25,17,False
2018-12-02,8,False
2018-12-09,5,False
2018-12-16,5,False
2018-12-23,8,False
2018-12-30,6,False
2019-01-06,4,False
2019-01-13,11,False
2019-01-20,7,False
2019-01-27,4,False
2019-02-03,9,False
2019-02-10,9,False
2019-02-17,17,False
2019-02-24,13,False
2019-03-03,15,False
2019-03-10,9,False
2019-03-17,43,False
2019-03-24,25,False
2019-03-31,37,False
2019-04-07,38,False
2019-04-14,43,False
2019-04-21,54,False
2019-04-28,47,False
2019-05-05,40,False
2019-05-12,35,False
2019-05-19,40,False
2019-05-26,39,False
2019-06-02,48,False
2019-06-09,54,False
2019-06-16,35,False
2019-06-23,23,False
2019-06-30,20,False
2019-07-07,19,False
2019-07-14,25,False
2019-07-21,34,False
2019-07-28,18,False
2019-08-04,14,False
2019-08-11,12,False
2019-08-18,16,False
2019-08-25,12,False
2019-09-01,12,False
2019-09-08,32,False
2019-09-15,32,False
2019-09-22,27,False
2019-09-29,15,False
2019-10-06,22,False
2019-10-13,16,False
2019-10-20,9,False
2019-10-27,9,False
2019-11-03,33,False
2019-11-10,37,False
2019-11-17,20,False
2019-11-24,22,False
2019-12-01,18,False
2019-12-08,8,False
2019-12-15,12,False
2019-12-22,8,False
2019-12-29,7,False
2020-01-05,5,False
2020-01-12,12,False
2020-01-19,18,False
2020-01-26,16,False
2020-02-02,15,False
2020-02-09,29,False
2020-02-16,25,False
2020-02-23,20,False
2020-03-01,17,False
2020-03-08,31,False
2020-03-15,40,False
2020-03-22,52,False
2020-03-29,56,False
2020-04-05,86,False
2020-04-12,78,False
2020-04-19,100,False
2020-04-26,78,False
2020-05-03,98,False
2020-05-10,69,False
2020-05-17,64,False
2020-05-24,55,False
2020-05-31,42,False
2020-06-07,46,False
2020-06-14,46,False
2020-06-21,41,False
2020-06-28,35,False
2020-07-05,27,False
