date,Pflanzen,isPartial
2018-01-07,17,False
2018-01-14,17,False
2018-01-21,10,False
2018-01-28,27,False
2018-02-04,14,False
2018-02-11,16,False
2018-02-18,13,False
2018-02-25,12,False
2018-03-04,13,False
2018-03-11,17,False
2018-03-18,18,False
2018-03-25,11,False
2018-04-01,41,False
2018-04-08,27,False
2018-04-15,19,False
2018-04-22,23,False
2018-04-29,28,False
2018-05-06,43,False
2018-05-13,42,False
2018-05-20,16,False
2018-05-27,0,False
2018-06-03,16,False
2018-06-10,37,False
2018-06-17,16,False
2018-06-24,19,False
2018-07-01,34,False
2018-07-08,31,False
2018-07-15,24,False
2018-07-22,35,False
2018-07-29,12,False
2018-08-05,12,False
2018-08-12,23,False
2018-08-19,16,False
2018-08-26,23,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,15,False
2018-09-23,16,False
2018-09-30,22,False
2018-10-07,16,False
2018-10-14,16,False
2018-10-21,25,False
2018-10-28,16,False
2018-11-04,8,False
2018-11-11,40,False
2018-11-18,15,False
2018-11-25,30,False
2018-12-02,7,False
2018-12-09,19,False
2018-12-16,11,False
2018-12-23,12,False
2018-12-30,11,False
2019-01-06,0,False
2019-01-13,16,False
2019-01-20,0,False
2019-01-27,13,False
2019-02-03,17,False
2019-02-10,14,False
2019-02-17,22,False
2019-02-24,20,False
2019-03-03,20,False
2019-03-10,10,False
2019-03-17,18,False
2019-03-24,52,False
2019-03-31,29,False
2019-04-07,18,False
2019-04-14,31,False
2019-04-21,50,False
2019-04-28,29,False
2019-05-05,18,False
2019-05-12,37,False
2019-05-19,33,False
2019-05-26,26,False
2019-06-02,49,False
2019-06-09,32,False
2019-06-16,22,False
2019-06-23,16,False
2019-06-30,22,False
2019-07-07,25,False
2019-07-14,27,False
2019-07-21,27,False
2019-07-28,19,False
2019-08-04,8,False
2019-08-11,18,False
2019-08-18,14,False
2019-08-25,14,False
2019-09-01,27,False
2019-09-08,14,False
2019-09-15,14,False
2019-09-22,24,False
2019-09-29,7,False
2019-10-06,7,False
2019-10-13,11,False
2019-10-20,21,False
2019-10-27,24,False
2019-11-03,7,False
2019-11-10,7,False
2019-11-17,34,False
2019-11-24,7,False
2019-12-01,21,False
2019-12-08,7,False
2019-12-15,17,False
2019-12-22,7,False
2019-12-29,0,False
2020-01-05,9,False
2020-01-12,12,False
2020-01-19,6,False
2020-01-26,9,False
2020-02-02,23,False
2020-02-09,9,False
2020-02-16,14,False
2020-02-23,16,False
2020-03-01,28,False
2020-03-08,19,False
2020-03-15,40,False
2020-03-22,40,False
2020-03-29,48,False
2020-04-05,54,False
2020-04-12,62,False
2020-04-19,90,False
2020-04-26,58,False
2020-05-03,58,False
2020-05-10,46,False
2020-05-17,100,False
2020-05-24,55,False
2020-05-31,27,False
2020-06-07,17,False
2020-06-14,17,False
2020-06-21,36,False
2020-06-28,38,False
2020-07-05,12,False
