date,Wohnungsreinigung,isPartial
2018-01-07,24,False
2018-01-14,23,False
2018-01-21,35,False
2018-01-28,23,False
2018-02-04,48,False
2018-02-11,48,False
2018-02-18,0,False
2018-02-25,47,False
2018-03-04,31,False
2018-03-11,23,False
2018-03-18,36,False
2018-03-25,25,False
2018-04-01,0,False
2018-04-08,37,False
2018-04-15,50,False
2018-04-22,72,False
2018-04-29,41,False
2018-05-06,42,False
2018-05-13,36,False
2018-05-20,25,False
2018-05-27,24,False
2018-06-03,72,False
2018-06-10,58,False
2018-06-17,23,False
2018-06-24,40,False
2018-07-01,72,False
2018-07-08,48,False
2018-07-15,50,False
2018-07-22,37,False
2018-07-29,74,False
2018-08-05,33,False
2018-08-12,25,False
2018-08-19,57,False
2018-08-26,48,False
2018-09-02,32,False
2018-09-09,61,False
2018-09-16,24,False
2018-09-23,25,False
2018-09-30,0,False
2018-10-07,24,False
2018-10-14,48,False
2018-10-21,39,False
2018-10-28,54,False
2018-11-04,45,False
2018-11-11,47,False
2018-11-18,22,False
2018-11-25,35,False
2018-12-02,31,False
2018-12-09,31,False
2018-12-16,32,False
2018-12-23,46,False
2018-12-30,74,False
2019-01-06,37,False
2019-01-13,58,False
2019-01-20,22,False
2019-01-27,33,False
2019-02-03,30,False
2019-02-10,45,False
2019-02-17,45,False
2019-02-24,58,False
2019-03-03,45,False
2019-03-10,33,False
2019-03-17,38,False
2019-03-24,31,False
2019-03-31,23,False
2019-04-07,45,False
2019-04-14,33,False
2019-04-21,96,False
2019-04-28,22,False
2019-05-05,66,False
2019-05-12,0,False
2019-05-19,45,False
2019-05-26,46,False
2019-06-02,30,False
2019-06-09,54,False
2019-06-16,70,False
2019-06-23,35,False
2019-06-30,30,False
2019-07-07,45,False
2019-07-14,35,False
2019-07-21,25,False
2019-07-28,36,False
2019-08-04,24,False
2019-08-11,69,False
2019-08-18,85,False
2019-08-25,61,False
2019-09-01,37,False
2019-09-08,83,False
2019-09-15,76,False
2019-09-22,73,False
2019-09-29,59,False
2019-10-06,66,False
2019-10-13,29,False
2019-10-20,50,False
2019-10-27,57,False
2019-11-03,83,False
2019-11-10,56,False
2019-11-17,53,False
2019-11-24,34,False
2019-12-01,0,False
2019-12-08,28,False
2019-12-15,21,False
2019-12-22,0,False
2019-12-29,45,False
2020-01-05,50,False
2020-01-12,59,False
2020-01-19,30,False
2020-01-26,100,False
2020-02-02,30,False
2020-02-09,39,False
2020-02-16,41,False
2020-02-23,20,False
2020-03-01,59,False
2020-03-08,56,False
2020-03-15,36,False
2020-03-22,24,False
2020-03-29,36,False
2020-04-05,20,False
2020-04-12,19,False
2020-04-19,0,False
2020-04-26,36,False
2020-05-03,46,False
2020-05-10,27,False
