date,Maquillage,isPartial
2018-01-07,13,False
2018-01-14,7,False
2018-01-21,11,False
2018-01-28,9,False
2018-02-04,10,False
2018-02-11,9,False
2018-02-18,11,False
2018-02-25,8,False
2018-03-04,9,False
2018-03-11,11,False
2018-03-18,14,False
2018-03-25,9,False
2018-04-01,11,False
2018-04-08,7,False
2018-04-15,8,False
2018-04-22,12,False
2018-04-29,8,False
2018-05-06,10,False
2018-05-13,9,False
2018-05-20,9,False
2018-05-27,12,False
2018-06-03,7,False
2018-06-10,7,False
2018-06-17,10,False
2018-06-24,12,False
2018-07-01,10,False
2018-07-08,14,False
2018-07-15,8,False
2018-07-22,6,False
2018-07-29,9,False
2018-08-05,8,False
2018-08-12,9,False
2018-08-19,11,False
2018-08-26,9,False
2018-09-02,9,False
2018-09-09,6,False
2018-09-16,11,False
2018-09-23,8,False
2018-09-30,9,False
2018-10-07,12,False
2018-10-14,17,False
2018-10-21,45,False
2018-10-28,85,False
2018-11-04,16,False
2018-11-11,11,False
2018-11-18,13,False
2018-11-25,12,False
2018-12-02,14,False
2018-12-09,14,False
2018-12-16,12,False
2018-12-23,15,False
2018-12-30,16,False
2019-01-06,11,False
2019-01-13,9,False
2019-01-20,11,False
2019-01-27,7,False
2019-02-03,8,False
2019-02-10,9,False
2019-02-17,8,False
2019-02-24,8,False
2019-03-03,16,False
2019-03-10,9,False
2019-03-17,11,False
2019-03-24,10,False
2019-03-31,12,False
2019-04-07,11,False
2019-04-14,6,False
2019-04-21,9,False
2019-04-28,9,False
2019-05-05,11,False
2019-05-12,14,False
2019-05-19,5,False
2019-05-26,11,False
2019-06-02,10,False
2019-06-09,11,False
2019-06-16,7,False
2019-06-23,8,False
2019-06-30,7,False
2019-07-07,4,False
2019-07-14,5,False
2019-07-21,10,False
2019-07-28,9,False
2019-08-04,9,False
2019-08-11,5,False
2019-08-18,7,False
2019-08-25,11,False
2019-09-01,5,False
2019-09-08,9,False
2019-09-15,5,False
2019-09-22,8,False
2019-09-29,12,False
2019-10-06,11,False
2019-10-13,16,False
2019-10-20,34,False
2019-10-27,100,False
2019-11-03,10,False
2019-11-10,10,False
2019-11-17,8,False
2019-11-24,8,False
2019-12-01,11,False
2019-12-08,12,False
2019-12-15,9,False
2019-12-22,15,False
2019-12-29,15,False
2020-01-05,7,False
2020-01-12,10,False
2020-01-19,8,False
2020-01-26,8,False
2020-02-02,11,False
2020-02-09,10,False
2020-02-16,10,False
2020-02-23,14,False
2020-03-01,9,False
2020-03-08,6,False
2020-03-15,5,False
2020-03-22,9,False
2020-03-29,11,False
2020-04-05,10,False
2020-04-12,9,True
