date,Maquillage,isPartial
2018-01-07,16,False
2018-01-14,16,False
2018-01-21,9,False
2018-01-28,16,False
2018-02-04,11,False
2018-02-11,5,False
2018-02-18,11,False
2018-02-25,20,False
2018-03-04,4,False
2018-03-11,22,False
2018-03-18,13,False
2018-03-25,7,False
2018-04-01,14,False
2018-04-08,6,False
2018-04-15,22,False
2018-04-22,15,False
2018-04-29,8,False
2018-05-06,8,False
2018-05-13,4,False
2018-05-20,12,False
2018-05-27,8,False
2018-06-03,13,False
2018-06-10,17,False
2018-06-17,5,False
2018-06-24,7,False
2018-07-01,15,False
2018-07-08,6,False
2018-07-15,12,False
2018-07-22,7,False
2018-07-29,3,False
2018-08-05,5,False
2018-08-12,10,False
2018-08-19,5,False
2018-08-26,8,False
2018-09-02,10,False
2018-09-09,12,False
2018-09-16,5,False
2018-09-23,7,False
2018-09-30,15,False
2018-10-07,10,False
2018-10-14,8,False
2018-10-21,21,False
2018-10-28,100,False
2018-11-04,9,False
2018-11-11,9,False
2018-11-18,18,False
2018-11-25,18,False
2018-12-02,22,False
2018-12-09,19,False
2018-12-16,12,False
2018-12-23,14,False
2018-12-30,10,False
2019-01-06,17,False
2019-01-13,5,False
2019-01-20,9,False
2019-01-27,6,False
2019-02-03,5,False
2019-02-10,12,False
2019-02-17,5,False
2019-02-24,9,False
2019-03-03,14,False
2019-03-10,7,False
2019-03-17,7,False
2019-03-24,7,False
2019-03-31,23,False
2019-04-07,13,False
2019-04-14,8,False
2019-04-21,6,False
2019-04-28,8,False
2019-05-05,4,False
2019-05-12,4,False
2019-05-19,14,False
2019-05-26,6,False
2019-06-02,7,False
2019-06-09,13,False
2019-06-16,11,False
2019-06-23,5,False
2019-06-30,12,False
2019-07-07,12,False
2019-07-14,7,False
2019-07-21,9,False
2019-07-28,4,False
2019-08-04,13,False
2019-08-11,4,False
2019-08-18,6,False
2019-08-25,8,False
2019-09-01,4,False
2019-09-08,6,False
2019-09-15,5,False
2019-09-22,8,False
2019-09-29,11,False
2019-10-06,15,False
2019-10-13,12,False
2019-10-20,25,False
2019-10-27,74,False
2019-11-03,10,False
2019-11-10,16,False
2019-11-17,10,False
2019-11-24,12,False
2019-12-01,22,False
2019-12-08,10,False
2019-12-15,21,False
2019-12-22,9,False
2019-12-29,9,False
2020-01-05,6,False
2020-01-12,12,False
2020-01-19,10,False
2020-01-26,12,False
2020-02-02,12,False
2020-02-09,8,False
2020-02-16,15,False
2020-02-23,28,False
2020-03-01,11,False
2020-03-08,8,False
2020-03-15,10,False
2020-03-22,5,False
2020-03-29,8,False
2020-04-05,10,False
2020-04-12,8,True
