date,torte per compleanno,isPartial
2018-01-07,28,False
2018-01-14,46,False
2018-01-21,73,False
2018-01-28,63,False
2018-02-04,18,False
2018-02-11,45,False
2018-02-18,52,False
2018-02-25,100,False
2018-03-04,36,False
2018-03-11,45,False
2018-03-18,35,False
2018-03-25,28,False
2018-04-01,39,False
2018-04-08,37,False
2018-04-15,37,False
2018-04-22,58,False
2018-04-29,19,False
2018-05-06,18,False
2018-05-13,19,False
2018-05-20,46,False
2018-05-27,19,False
2018-06-03,19,False
2018-06-10,35,False
2018-06-17,18,False
2018-06-24,70,False
2018-07-01,27,False
2018-07-08,27,False
2018-07-15,27,False
2018-07-22,17,False
2018-07-29,70,False
2018-08-05,42,False
2018-08-12,15,False
2018-08-19,15,False
2018-08-26,32,False
2018-09-02,34,False
2018-09-09,26,False
2018-09-16,18,False
2018-09-23,54,False
2018-09-30,18,False
2018-10-07,38,False
2018-10-14,19,False
2018-10-21,19,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,38,False
2018-11-18,37,False
2018-11-25,45,False
2018-12-02,29,False
2018-12-09,0,False
2018-12-16,38,False
2018-12-23,30,False
2018-12-30,18,False
2019-01-06,0,False
2019-01-13,18,False
2019-01-20,41,False
2019-01-27,33,False
2019-02-03,49,False
2019-02-10,24,False
2019-02-17,17,False
2019-02-24,33,False
2019-03-03,35,False
2019-03-10,17,False
2019-03-17,35,False
2019-03-24,17,False
2019-03-31,51,False
2019-04-07,33,False
2019-04-14,35,False
2019-04-21,18,False
2019-04-28,17,False
2019-05-05,17,False
2019-05-12,16,False
2019-05-19,25,False
2019-05-26,16,False
2019-06-02,17,False
2019-06-09,18,False
2019-06-16,69,False
2019-06-23,34,False
2019-06-30,17,False
2019-07-07,16,False
2019-07-14,65,False
2019-07-21,51,False
2019-07-28,32,False
2019-08-04,16,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,16,False
2019-09-01,61,False
2019-09-08,31,False
2019-09-15,0,False
2019-09-22,16,False
2019-09-29,32,False
2019-10-06,16,False
2019-10-13,16,False
2019-10-20,16,False
2019-10-27,16,False
2019-11-03,46,False
2019-11-10,54,False
2019-11-17,47,False
2019-11-24,0,False
2019-12-01,32,False
2019-12-08,81,False
2019-12-15,16,False
2019-12-22,17,False
2019-12-29,16,False
2020-01-05,16,False
2020-01-12,37,False
2020-01-19,15,False
2020-01-26,45,False
2020-02-02,22,False
2020-02-09,22,False
2020-02-16,22,False
2020-02-23,43,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,13,False
2020-03-22,12,False
2020-03-29,30,False
2020-04-05,32,False
2020-04-12,26,False
2020-04-19,12,False
2020-04-26,32,True
