date,torte per compleanno,isPartial
2018-01-07,37,False
2018-01-14,49,False
2018-01-21,50,False
2018-01-28,24,False
2018-02-04,0,False
2018-02-11,25,False
2018-02-18,25,False
2018-02-25,100,False
2018-03-04,26,False
2018-03-11,26,False
2018-03-18,26,False
2018-03-25,54,False
2018-04-01,56,False
2018-04-08,26,False
2018-04-15,70,False
2018-04-22,28,False
2018-04-29,54,False
2018-05-06,26,False
2018-05-13,40,False
2018-05-20,27,False
2018-05-27,53,False
2018-06-03,40,False
2018-06-10,26,False
2018-06-17,39,False
2018-06-24,53,False
2018-07-01,52,False
2018-07-08,0,False
2018-07-15,27,False
2018-07-22,0,False
2018-07-29,27,False
2018-08-05,28,False
2018-08-12,45,False
2018-08-19,27,False
2018-08-26,51,False
2018-09-02,25,False
2018-09-09,0,False
2018-09-16,52,False
2018-09-23,27,False
2018-09-30,0,False
2018-10-07,27,False
2018-10-14,28,False
2018-10-21,40,False
2018-10-28,51,False
2018-11-04,26,False
2018-11-11,27,False
2018-11-18,26,False
2018-11-25,26,False
2018-12-02,0,False
2018-12-09,28,False
2018-12-16,29,False
2018-12-23,63,False
2018-12-30,28,False
2019-01-06,52,False
2019-01-13,0,False
2019-01-20,73,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,24,False
2019-02-17,25,False
2019-02-24,37,False
2019-03-03,0,False
2019-03-10,38,False
2019-03-17,0,False
2019-03-24,26,False
2019-03-31,0,False
2019-04-07,0,False
2019-04-14,26,False
2019-04-21,26,False
2019-04-28,0,False
2019-05-05,47,False
2019-05-12,24,False
2019-05-19,24,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,25,False
2019-06-16,0,False
2019-06-23,26,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,26,False
2019-08-04,55,False
2019-08-11,30,False
2019-08-18,27,False
2019-08-25,49,False
2019-09-01,0,False
2019-09-08,25,False
2019-09-15,25,False
2019-09-22,0,False
2019-09-29,24,False
2019-10-06,24,False
2019-10-13,48,False
2019-10-20,24,False
2019-10-27,23,False
2019-11-03,46,False
2019-11-10,23,False
2019-11-17,0,False
2019-11-24,23,False
2019-12-01,0,False
2019-12-08,24,False
2019-12-15,48,False
2019-12-22,28,False
2019-12-29,26,False
2020-01-05,23,False
2020-01-12,33,False
2020-01-19,90,False
2020-01-26,55,False
2020-02-02,0,False
2020-02-09,22,False
2020-02-16,22,False
2020-02-23,32,False
2020-03-01,0,False
2020-03-08,30,False
2020-03-15,0,False
2020-03-22,19,False
2020-03-29,39,False
2020-04-05,31,False
2020-04-12,20,False
2020-04-19,20,False
2020-04-26,33,True
