date,torte per compleanno,isPartial
2018-01-07,72,False
2018-01-14,100,False
2018-01-21,49,False
2018-01-28,94,False
2018-02-04,77,False
2018-02-11,54,False
2018-02-18,76,False
2018-02-25,82,False
2018-03-04,44,False
2018-03-11,81,False
2018-03-18,57,False
2018-03-25,47,False
2018-04-01,71,False
2018-04-08,70,False
2018-04-15,42,False
2018-04-22,57,False
2018-04-29,50,False
2018-05-06,49,False
2018-05-13,50,False
2018-05-20,66,False
2018-05-27,42,False
2018-06-03,67,False
2018-06-10,44,False
2018-06-17,61,False
2018-06-24,42,False
2018-07-01,45,False
2018-07-08,37,False
2018-07-15,63,False
2018-07-22,50,False
2018-07-29,52,False
2018-08-05,62,False
2018-08-12,51,False
2018-08-19,73,False
2018-08-26,55,False
2018-09-02,69,False
2018-09-09,69,False
2018-09-16,63,False
2018-09-23,65,False
2018-09-30,45,False
2018-10-07,37,False
2018-10-14,54,False
2018-10-21,36,False
2018-10-28,52,False
2018-11-04,51,False
2018-11-11,45,False
2018-11-18,36,False
2018-11-25,66,False
2018-12-02,71,False
2018-12-09,54,False
2018-12-16,43,False
2018-12-23,44,False
2018-12-30,45,False
2019-01-06,62,False
2019-01-13,48,False
2019-01-20,50,False
2019-01-27,68,False
2019-02-03,85,False
2019-02-10,35,False
2019-02-17,56,False
2019-02-24,59,False
2019-03-03,66,False
2019-03-10,85,False
2019-03-17,53,False
2019-03-24,45,False
2019-03-31,74,False
2019-04-07,40,False
2019-04-14,29,False
2019-04-21,44,False
2019-04-28,45,False
2019-05-05,47,False
2019-05-12,63,False
2019-05-19,35,False
2019-05-26,42,False
2019-06-02,36,False
2019-06-09,24,False
2019-06-16,33,False
2019-06-23,41,False
2019-06-30,37,False
2019-07-07,28,False
2019-07-14,62,False
2019-07-21,25,False
2019-07-28,38,False
2019-08-04,35,False
2019-08-11,28,False
2019-08-18,43,False
2019-08-25,32,False
2019-09-01,37,False
2019-09-08,58,False
2019-09-15,82,False
2019-09-22,26,False
2019-09-29,57,False
2019-10-06,66,False
2019-10-13,38,False
2019-10-20,86,False
2019-10-27,34,False
2019-11-03,58,False
2019-11-10,22,False
2019-11-17,58,False
2019-11-24,40,False
2019-12-01,39,False
2019-12-08,34,False
2019-12-15,31,False
2019-12-22,31,False
2019-12-29,60,False
2020-01-05,63,False
2020-01-12,60,False
2020-01-19,64,False
2020-01-26,32,False
2020-02-02,38,False
2020-02-09,54,False
2020-02-16,43,False
2020-02-23,37,False
2020-03-01,30,False
2020-03-08,32,False
2020-03-15,45,False
2020-03-22,39,False
2020-03-29,56,False
2020-04-05,36,False
2020-04-12,65,False
2020-04-19,62,False
2020-04-26,43,True
