date,Smart Home,isPartial
2018-01-07,0,False
2018-01-14,40,False
2018-01-21,20,False
2018-01-28,20,False
2018-02-04,20,False
2018-02-11,19,False
2018-02-18,79,False
2018-02-25,19,False
2018-03-04,0,False
2018-03-11,0,False
2018-03-18,21,False
2018-03-25,22,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,52,False
2018-04-22,26,False
2018-04-29,0,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,26,False
2018-06-03,25,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,23,False
2018-07-08,0,False
2018-07-15,23,False
2018-07-22,23,False
2018-07-29,0,False
2018-08-05,21,False
2018-08-12,45,False
2018-08-19,23,False
2018-08-26,23,False
2018-09-02,24,False
2018-09-09,100,False
2018-09-16,24,False
2018-09-23,24,False
2018-09-30,24,False
2018-10-07,0,False
2018-10-14,25,False
2018-10-21,26,False
2018-10-28,0,False
2018-11-04,25,False
2018-11-11,51,False
2018-11-18,74,False
2018-11-25,25,False
2018-12-02,24,False
2018-12-09,0,False
2018-12-16,48,False
2018-12-23,44,False
2018-12-30,19,False
2019-01-06,20,False
2019-01-13,20,False
2019-01-20,20,False
2019-01-27,0,False
2019-02-03,19,False
2019-02-10,0,False
2019-02-17,19,False
2019-02-24,38,False
2019-03-03,36,False
2019-03-10,19,False
2019-03-17,21,False
2019-03-24,22,False
2019-03-31,23,False
2019-04-07,22,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,24,False
2019-05-05,35,False
2019-05-12,24,False
2019-05-19,0,False
2019-05-26,23,False
2019-06-02,0,False
2019-06-09,23,False
2019-06-16,22,False
2019-06-23,23,False
2019-06-30,22,False
2019-07-07,42,False
2019-07-14,0,False
2019-07-21,21,False
2019-07-28,20,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,22,False
2019-09-01,0,False
2019-09-08,20,False
2019-09-15,0,False
2019-09-22,32,False
2019-09-29,19,False
2019-10-06,0,False
2019-10-13,20,False
2019-10-20,80,False
2019-10-27,20,False
2019-11-03,19,False
2019-11-10,19,False
2019-11-17,0,False
2019-11-24,29,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,17,False
2019-12-29,16,False
2020-01-05,65,False
2020-01-12,32,False
2020-01-19,32,False
2020-01-26,31,False
2020-02-02,14,False
2020-02-09,22,False
2020-02-16,15,False
2020-02-23,0,False
2020-03-01,44,False
2020-03-08,14,False
2020-03-15,0,False
2020-03-22,16,False
2020-03-29,16,False
2020-04-05,19,False
2020-04-12,18,False
2020-04-19,0,False
2020-04-26,0,False
2020-05-03,18,False
2020-05-10,53,False
2020-05-17,0,False
2020-05-24,18,False
2020-05-31,18,False
2020-06-07,18,False
2020-06-14,0,False
2020-06-21,18,False
2020-06-28,17,False
2020-07-05,17,False
