date,feste per bambini,isPartial
2018-01-07,75,False
2018-01-14,49,False
2018-01-21,25,False
2018-01-28,50,False
2018-02-04,73,False
2018-02-11,53,False
2018-02-18,51,False
2018-02-25,36,False
2018-03-04,89,False
2018-03-11,76,False
2018-03-18,50,False
2018-03-25,40,False
2018-04-01,56,False
2018-04-08,93,False
2018-04-15,26,False
2018-04-22,27,False
2018-04-29,66,False
2018-05-06,50,False
2018-05-13,40,False
2018-05-20,26,False
2018-05-27,27,False
2018-06-03,54,False
2018-06-10,50,False
2018-06-17,64,False
2018-06-24,39,False
2018-07-01,26,False
2018-07-08,26,False
2018-07-15,27,False
2018-07-22,55,False
2018-07-29,54,False
2018-08-05,28,False
2018-08-12,0,False
2018-08-19,62,False
2018-08-26,28,False
2018-09-02,91,False
2018-09-09,26,False
2018-09-16,87,False
2018-09-23,38,False
2018-09-30,51,False
2018-10-07,79,False
2018-10-14,81,False
2018-10-21,39,False
2018-10-28,38,False
2018-11-04,39,False
2018-11-11,42,False
2018-11-18,53,False
2018-11-25,26,False
2018-12-02,28,False
2018-12-09,28,False
2018-12-16,28,False
2018-12-23,59,False
2018-12-30,27,False
2019-01-06,52,False
2019-01-13,38,False
2019-01-20,24,False
2019-01-27,25,False
2019-02-03,37,False
2019-02-10,25,False
2019-02-17,0,False
2019-02-24,76,False
2019-03-03,0,False
2019-03-10,37,False
2019-03-17,51,False
2019-03-24,80,False
2019-03-31,77,False
2019-04-07,51,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,38,False
2019-05-05,100,False
2019-05-12,25,False
2019-05-19,49,False
2019-05-26,59,False
2019-06-02,52,False
2019-06-09,41,False
2019-06-16,53,False
2019-06-23,27,False
2019-06-30,42,False
2019-07-07,54,False
2019-07-14,41,False
2019-07-21,0,False
2019-07-28,27,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,59,False
2019-08-25,26,False
2019-09-01,48,False
2019-09-08,86,False
2019-09-15,72,False
2019-09-22,58,False
2019-09-29,23,False
2019-10-06,50,False
2019-10-13,24,False
2019-10-20,59,False
2019-10-27,47,False
2019-11-03,0,False
2019-11-10,36,False
2019-11-17,23,False
2019-11-24,47,False
2019-12-01,37,False
2019-12-08,25,False
2019-12-15,49,False
2019-12-22,0,False
2019-12-29,26,False
2020-01-05,48,False
2020-01-12,46,False
2020-01-19,23,False
2020-01-26,23,False
2020-02-02,34,False
2020-02-09,46,False
2020-02-16,35,False
2020-02-23,22,False
2020-03-01,21,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,20,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,33,True
