date,matrimonio originale,isPartial
2018-01-07,21,False
2018-01-14,20,False
2018-01-21,20,False
2018-01-28,40,False
2018-02-04,20,False
2018-02-11,0,False
2018-02-18,20,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,59,False
2018-03-18,0,False
2018-03-25,21,False
2018-04-01,22,False
2018-04-08,20,False
2018-04-15,41,False
2018-04-22,85,False
2018-04-29,61,False
2018-05-06,0,False
2018-05-13,40,False
2018-05-20,20,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,39,False
2018-06-17,100,False
2018-06-24,41,False
2018-07-01,20,False
2018-07-08,61,False
2018-07-15,20,False
2018-07-22,21,False
2018-07-29,21,False
2018-08-05,22,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,21,False
2018-09-02,39,False
2018-09-09,59,False
2018-09-16,58,False
2018-09-23,40,False
2018-09-30,40,False
2018-10-07,20,False
2018-10-14,41,False
2018-10-21,0,False
2018-10-28,20,False
2018-11-04,19,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,20,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,21,False
2018-12-23,0,False
2018-12-30,22,False
2019-01-06,20,False
2019-01-13,39,False
2019-01-20,57,False
2019-01-27,19,False
2019-02-03,38,False
2019-02-10,19,False
2019-02-17,39,False
2019-02-24,0,False
2019-03-03,20,False
2019-03-10,59,False
2019-03-17,40,False
2019-03-24,60,False
2019-03-31,60,False
2019-04-07,0,False
2019-04-14,20,False
2019-04-21,0,False
2019-04-28,20,False
2019-05-05,38,False
2019-05-12,0,False
2019-05-19,57,False
2019-05-26,37,False
2019-06-02,39,False
2019-06-09,59,False
2019-06-16,40,False
2019-06-23,0,False
2019-06-30,40,False
2019-07-07,39,False
2019-07-14,20,False
2019-07-21,61,False
2019-07-28,21,False
2019-08-04,42,False
2019-08-11,45,False
2019-08-18,21,False
2019-08-25,39,False
2019-09-01,54,False
2019-09-08,0,False
2019-09-15,18,False
2019-09-22,18,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,36,False
2019-10-27,0,False
2019-11-03,35,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,36,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,21,False
2020-01-05,0,False
2020-01-12,17,False
2020-01-19,35,False
2020-01-26,0,False
2020-02-02,0,False
2020-02-09,53,False
2020-02-16,17,False
2020-02-23,0,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,15,False
2020-03-29,15,False
2020-04-05,0,False
2020-04-12,16,False
2020-04-19,15,False
2020-04-26,26,True
