date,empresas de catering,isPartial
2018-01-07,70,False
2018-01-14,70,False
2018-01-21,35,False
2018-01-28,43,False
2018-02-04,17,False
2018-02-11,70,False
2018-02-18,35,False
2018-02-25,59,False
2018-03-04,34,False
2018-03-11,17,False
2018-03-18,18,False
2018-03-25,39,False
2018-04-01,35,False
2018-04-08,17,False
2018-04-15,26,False
2018-04-22,43,False
2018-04-29,26,False
2018-05-06,50,False
2018-05-13,87,False
2018-05-20,17,False
2018-05-27,42,False
2018-06-03,67,False
2018-06-10,33,False
2018-06-17,36,False
2018-06-24,27,False
2018-07-01,18,False
2018-07-08,26,False
2018-07-15,36,False
2018-07-22,36,False
2018-07-29,28,False
2018-08-05,36,False
2018-08-12,19,False
2018-08-19,38,False
2018-08-26,27,False
2018-09-02,43,False
2018-09-09,43,False
2018-09-16,26,False
2018-09-23,100,False
2018-09-30,42,False
2018-10-07,78,False
2018-10-14,33,False
2018-10-21,34,False
2018-10-28,61,False
2018-11-04,57,False
2018-11-11,92,False
2018-11-18,89,False
2018-11-25,34,False
2018-12-02,26,False
2018-12-09,26,False
2018-12-16,44,False
2018-12-23,50,False
2018-12-30,48,False
2019-01-06,26,False
2019-01-13,49,False
2019-01-20,47,False
2019-01-27,40,False
2019-02-03,67,False
2019-02-10,67,False
2019-02-17,25,False
2019-02-24,66,False
2019-03-03,17,False
2019-03-10,52,False
2019-03-17,26,False
2019-03-24,51,False
2019-03-31,16,False
2019-04-07,41,False
2019-04-14,17,False
2019-04-21,66,False
2019-04-28,25,False
2019-05-05,0,False
2019-05-12,41,False
2019-05-19,16,False
2019-05-26,16,False
2019-06-02,48,False
2019-06-09,56,False
2019-06-16,42,False
2019-06-23,17,False
2019-06-30,34,False
2019-07-07,42,False
2019-07-14,17,False
2019-07-21,17,False
2019-07-28,27,False
2019-08-04,45,False
2019-08-11,18,False
2019-08-18,62,False
2019-08-25,33,False
2019-09-01,24,False
2019-09-08,24,False
2019-09-15,39,False
2019-09-22,16,False
2019-09-29,86,False
2019-10-06,46,False
2019-10-13,15,False
2019-10-20,46,False
2019-10-27,38,False
2019-11-03,30,False
2019-11-10,30,False
2019-11-17,30,False
2019-11-24,65,False
2019-12-01,31,False
2019-12-08,32,False
2019-12-15,15,False
2019-12-22,0,False
2019-12-29,17,False
2020-01-05,61,False
2020-01-12,28,False
2020-01-19,42,False
2020-01-26,36,False
2020-02-02,72,False
2020-02-09,51,False
2020-02-16,50,False
2020-02-23,49,False
2020-03-01,28,False
2020-03-08,41,False
2020-03-15,40,False
2020-03-22,12,False
2020-03-29,25,False
2020-04-05,13,False
2020-04-12,44,True
