date,Kälte und Klimatechnik,isPartial
2018-01-07,17,False
2018-01-14,17,False
2018-01-21,25,False
2018-01-28,27,False
2018-02-04,17,False
2018-02-11,34,False
2018-02-18,28,False
2018-02-25,34,False
2018-03-04,28,False
2018-03-11,28,False
2018-03-18,17,False
2018-03-25,27,False
2018-04-01,24,False
2018-04-08,17,False
2018-04-15,18,False
2018-04-22,17,False
2018-04-29,41,False
2018-05-06,18,False
2018-05-13,17,False
2018-05-20,36,False
2018-05-27,41,False
2018-06-03,35,False
2018-06-10,33,False
2018-06-17,25,False
2018-06-24,0,False
2018-07-01,17,False
2018-07-08,17,False
2018-07-15,35,False
2018-07-22,44,False
2018-07-29,100,False
2018-08-05,87,False
2018-08-12,47,False
2018-08-19,29,False
2018-08-26,35,False
2018-09-02,26,False
2018-09-09,34,False
2018-09-16,26,False
2018-09-23,17,False
2018-09-30,17,False
2018-10-07,23,False
2018-10-14,26,False
2018-10-21,25,False
2018-10-28,25,False
2018-11-04,24,False
2018-11-11,28,False
2018-11-18,32,False
2018-11-25,22,False
2018-12-02,33,False
2018-12-09,17,False
2018-12-16,17,False
2018-12-23,19,False
2018-12-30,26,False
2019-01-06,74,False
2019-01-13,26,False
2019-01-20,26,False
2019-01-27,21,False
2019-02-03,26,False
2019-02-10,24,False
2019-02-17,16,False
2019-02-24,33,False
2019-03-03,32,False
2019-03-10,0,False
2019-03-17,0,False
2019-03-24,33,False
2019-03-31,16,False
2019-04-07,38,False
2019-04-14,36,False
2019-04-21,17,False
2019-04-28,24,False
2019-05-05,0,False
2019-05-12,57,False
2019-05-19,32,False
2019-05-26,22,False
2019-06-02,48,False
2019-06-09,33,False
2019-06-16,28,False
2019-06-23,72,False
2019-06-30,59,False
2019-07-07,24,False
2019-07-14,17,False
2019-07-21,47,False
2019-07-28,42,False
2019-08-04,43,False
2019-08-11,16,False
2019-08-18,17,False
2019-08-25,33,False
2019-09-01,0,False
2019-09-08,16,False
2019-09-15,24,False
2019-09-22,32,False
2019-09-29,26,False
2019-10-06,32,False
2019-10-13,16,False
2019-10-20,31,False
2019-10-27,25,False
2019-11-03,58,False
2019-11-10,20,False
2019-11-17,0,False
2019-11-24,24,False
2019-12-01,15,False
2019-12-08,30,False
2019-12-15,23,False
2019-12-22,44,False
2019-12-29,32,False
2020-01-05,29,False
2020-01-12,35,False
2020-01-19,29,False
2020-01-26,24,False
2020-02-02,38,False
2020-02-09,19,False
2020-02-16,38,False
2020-02-23,33,False
2020-03-01,14,False
2020-03-08,20,False
2020-03-15,21,False
2020-03-22,13,False
2020-03-29,26,False
2020-04-05,21,False
2020-04-12,18,False
2020-04-19,13,False
2020-04-26,17,False
2020-05-03,13,False
2020-05-10,26,False
2020-05-17,31,True
