date,techno,isPartial
2018-01-07,34,False
2018-01-14,0,False
2018-01-21,34,False
2018-01-28,0,False
2018-02-04,33,False
2018-02-11,67,False
2018-02-18,48,False
2018-02-25,32,False
2018-03-04,80,False
2018-03-11,94,False
2018-03-18,0,False
2018-03-25,100,False
2018-04-01,71,False
2018-04-08,0,False
2018-04-15,34,False
2018-04-22,34,False
2018-04-29,49,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,65,False
2018-05-27,50,False
2018-06-03,99,False
2018-06-10,31,False
2018-06-17,33,False
2018-06-24,49,False
2018-07-01,63,False
2018-07-08,79,False
2018-07-15,33,False
2018-07-22,66,False
2018-07-29,67,False
2018-08-05,0,False
2018-08-12,54,False
2018-08-19,51,False
2018-08-26,32,False
2018-09-02,80,False
2018-09-09,66,False
2018-09-16,32,False
2018-09-23,49,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,34,False
2018-10-21,33,False
2018-10-28,0,False
2018-11-04,32,False
2018-11-11,0,False
2018-11-18,64,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,33,False
2018-12-16,63,False
2018-12-23,36,False
2018-12-30,70,False
2019-01-06,0,False
2019-01-13,43,False
2019-01-20,28,False
2019-01-27,28,False
2019-02-03,57,False
2019-02-10,57,False
2019-02-17,0,False
2019-02-24,29,False
2019-03-03,73,False
2019-03-10,29,False
2019-03-17,0,False
2019-03-24,59,False
2019-03-31,29,False
2019-04-07,28,False
2019-04-14,0,False
2019-04-21,61,False
2019-04-28,28,False
2019-05-05,55,False
2019-05-12,55,False
2019-05-19,54,False
2019-05-26,80,False
2019-06-02,29,False
2019-06-09,45,False
2019-06-16,30,False
2019-06-23,73,False
2019-06-30,29,False
2019-07-07,28,False
2019-07-14,0,False
2019-07-21,63,False
2019-07-28,62,False
2019-08-04,65,False
2019-08-11,0,False
2019-08-18,31,False
2019-08-25,60,False
2019-09-01,0,False
2019-09-08,28,False
2019-09-15,27,False
2019-09-22,26,False
2019-09-29,26,False
2019-10-06,41,False
2019-10-13,0,False
2019-10-20,53,False
2019-10-27,0,False
2019-11-03,76,False
2019-11-10,39,False
2019-11-17,63,False
2019-11-24,39,False
2019-12-01,27,False
2019-12-08,68,False
2019-12-15,41,False
2019-12-22,31,False
2019-12-29,48,False
2020-01-05,29,False
2020-01-12,77,False
2020-01-19,52,False
2020-01-26,50,False
2020-02-02,25,False
2020-02-09,25,False
2020-02-16,51,False
2020-02-23,24,False
2020-03-01,35,False
2020-03-08,0,False
2020-03-15,34,False
2020-03-22,21,False
2020-03-29,23,False
2020-04-05,47,False
2020-04-12,0,False
2020-04-19,45,False
2020-04-26,38,True
