date,Brunnenbohrer,isPartial
2018-01-07,8,False
2018-01-14,7,False
2018-01-21,8,False
2018-01-28,15,False
2018-02-04,8,False
2018-02-11,0,False
2018-02-18,8,False
2018-02-25,0,False
2018-03-04,8,False
2018-03-11,15,False
2018-03-18,8,False
2018-03-25,0,False
2018-04-01,21,False
2018-04-08,16,False
2018-04-15,16,False
2018-04-22,23,False
2018-04-29,24,False
2018-05-06,16,False
2018-05-13,23,False
2018-05-20,49,False
2018-05-27,36,False
2018-06-03,27,False
2018-06-10,34,False
2018-06-17,30,False
2018-06-24,23,False
2018-07-01,58,False
2018-07-08,31,False
2018-07-15,48,False
2018-07-22,64,False
2018-07-29,100,False
2018-08-05,51,False
2018-08-12,60,False
2018-08-19,16,False
2018-08-26,40,False
2018-09-02,27,False
2018-09-09,8,False
2018-09-16,12,False
2018-09-23,12,False
2018-09-30,23,False
2018-10-07,19,False
2018-10-14,23,False
2018-10-21,11,False
2018-10-28,15,False
2018-11-04,15,False
2018-11-11,11,False
2018-11-18,15,False
2018-11-25,7,False
2018-12-02,7,False
2018-12-09,0,False
2018-12-16,23,False
2018-12-23,9,False
2018-12-30,8,False
2019-01-06,14,False
2019-01-13,0,False
2019-01-20,10,False
2019-01-27,18,False
2019-02-03,7,False
2019-02-10,0,False
2019-02-17,14,False
2019-02-24,15,False
2019-03-03,25,False
2019-03-10,14,False
2019-03-17,37,False
2019-03-24,22,False
2019-03-31,7,False
2019-04-07,18,False
2019-04-14,36,False
2019-04-21,82,False
2019-04-28,26,False
2019-05-05,29,False
2019-05-12,22,False
2019-05-19,22,False
2019-05-26,19,False
2019-06-02,29,False
2019-06-09,34,False
2019-06-16,23,False
2019-06-23,37,False
2019-06-30,74,False
2019-07-07,43,False
2019-07-14,46,False
2019-07-21,36,False
2019-07-28,58,False
2019-08-04,8,False
2019-08-11,33,False
2019-08-18,19,False
2019-08-25,44,False
2019-09-01,18,False
2019-09-08,15,False
2019-09-15,22,False
2019-09-22,21,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,7,False
2019-10-27,14,False
2019-11-03,7,False
2019-11-10,0,False
2019-11-17,14,False
2019-11-24,7,False
2019-12-01,7,False
2019-12-08,7,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,11,False
2020-01-05,13,False
2020-01-12,13,False
2020-01-19,7,False
2020-01-26,6,False
2020-02-02,13,False
2020-02-09,13,False
2020-02-16,13,False
2020-02-23,10,False
2020-03-01,19,False
2020-03-08,9,False
2020-03-15,12,False
2020-03-22,9,False
2020-03-29,20,False
2020-04-05,51,False
2020-04-12,73,False
2020-04-19,82,False
2020-04-26,55,False
2020-05-03,41,False
2020-05-10,50,False
