date,Brunnenbohrer,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,29,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,0,False
2018-02-18,30,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,30,False
2018-03-18,30,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,45,False
2018-04-15,0,False
2018-04-22,29,False
2018-04-29,30,False
2018-05-06,31,False
2018-05-13,29,False
2018-05-20,0,False
2018-05-27,29,False
2018-06-03,0,False
2018-06-10,43,False
2018-06-17,29,False
2018-06-24,44,False
2018-07-01,58,False
2018-07-08,71,False
2018-07-15,81,False
2018-07-22,82,False
2018-07-29,94,False
2018-08-05,73,False
2018-08-12,41,False
2018-08-19,30,False
2018-08-26,61,False
2018-09-02,30,False
2018-09-09,30,False
2018-09-16,45,False
2018-09-23,30,False
2018-09-30,30,False
2018-10-07,60,False
2018-10-14,30,False
2018-10-21,30,False
2018-10-28,39,False
2018-11-04,29,False
2018-11-11,0,False
2018-11-18,56,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,29,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,27,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,56,False
2019-02-24,43,False
2019-03-03,42,False
2019-03-10,0,False
2019-03-17,28,False
2019-03-24,0,False
2019-03-31,28,False
2019-04-07,29,False
2019-04-14,46,False
2019-04-21,60,False
2019-04-28,29,False
2019-05-05,27,False
2019-05-12,28,False
2019-05-19,37,False
2019-05-26,29,False
2019-06-02,28,False
2019-06-09,72,False
2019-06-16,29,False
2019-06-23,100,False
2019-06-30,56,False
2019-07-07,28,False
2019-07-14,78,False
2019-07-21,64,False
2019-07-28,31,False
2019-08-04,62,False
2019-08-11,44,False
2019-08-18,30,False
2019-08-25,57,False
2019-09-01,46,False
2019-09-08,28,False
2019-09-15,29,False
2019-09-22,55,False
2019-09-29,28,False
2019-10-06,27,False
2019-10-13,28,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,50,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,0,False
2020-01-19,0,False
2020-01-26,0,False
2020-02-02,25,False
2020-02-09,24,False
2020-02-16,38,False
2020-02-23,24,False
2020-03-01,24,False
2020-03-08,23,False
2020-03-15,23,False
2020-03-22,0,False
2020-03-29,67,False
2020-04-05,37,False
2020-04-12,47,False
2020-04-19,68,False
2020-04-26,96,False
2020-05-03,56,False
2020-05-10,45,False
