date,Rolladen,isPartial
2018-01-07,19,False
2018-01-14,23,False
2018-01-21,13,False
2018-01-28,16,False
2018-02-04,14,False
2018-02-11,27,False
2018-02-18,17,False
2018-02-25,33,False
2018-03-04,19,False
2018-03-11,34,False
2018-03-18,17,False
2018-03-25,37,False
2018-04-01,34,False
2018-04-08,23,False
2018-04-15,29,False
2018-04-22,25,False
2018-04-29,32,False
2018-05-06,34,False
2018-05-13,12,False
2018-05-20,25,False
2018-05-27,34,False
2018-06-03,28,False
2018-06-10,21,False
2018-06-17,42,False
2018-06-24,39,False
2018-07-01,24,False
2018-07-08,32,False
2018-07-15,35,False
2018-07-22,19,False
2018-07-29,45,False
2018-08-05,51,False
2018-08-12,38,False
2018-08-19,31,False
2018-08-26,18,False
2018-09-02,20,False
2018-09-09,20,False
2018-09-16,20,False
2018-09-23,24,False
2018-09-30,14,False
2018-10-07,14,False
2018-10-14,32,False
2018-10-21,33,False
2018-10-28,20,False
2018-11-04,23,False
2018-11-11,16,False
2018-11-18,27,False
2018-11-25,29,False
2018-12-02,18,False
2018-12-09,21,False
2018-12-16,24,False
2018-12-23,20,False
2018-12-30,40,False
2019-01-06,26,False
2019-01-13,15,False
2019-01-20,44,False
2019-01-27,11,False
2019-02-03,21,False
2019-02-10,22,False
2019-02-17,27,False
2019-02-24,15,False
2019-03-03,18,False
2019-03-10,34,False
2019-03-17,25,False
2019-03-24,28,False
2019-03-31,33,False
2019-04-07,23,False
2019-04-14,29,False
2019-04-21,24,False
2019-04-28,21,False
2019-05-05,35,False
2019-05-12,15,False
2019-05-19,20,False
2019-05-26,19,False
2019-06-02,35,False
2019-06-09,24,False
2019-06-16,42,False
2019-06-23,41,False
2019-06-30,35,False
2019-07-07,28,False
2019-07-14,20,False
2019-07-21,31,False
2019-07-28,26,False
2019-08-04,33,False
2019-08-11,20,False
2019-08-18,34,False
2019-08-25,32,False
2019-09-01,22,False
2019-09-08,21,False
2019-09-15,9,False
2019-09-22,17,False
2019-09-29,26,False
2019-10-06,18,False
2019-10-13,20,False
2019-10-20,20,False
2019-10-27,22,False
2019-11-03,16,False
2019-11-10,9,False
2019-11-17,23,False
2019-11-24,16,False
2019-12-01,21,False
2019-12-08,19,False
2019-12-15,25,False
2019-12-22,24,False
2019-12-29,35,False
2020-01-05,17,False
2020-01-12,16,False
2020-01-19,25,False
2020-01-26,31,False
2020-02-02,29,False
2020-02-09,18,False
2020-02-16,16,False
2020-02-23,20,False
2020-03-01,24,False
2020-03-08,20,False
2020-03-15,22,False
2020-03-22,15,False
2020-03-29,21,False
2020-04-05,30,False
2020-04-12,29,False
2020-04-19,27,False
2020-04-26,30,False
2020-05-03,42,False
2020-05-10,33,False
2020-05-17,24,False
2020-05-24,21,False
2020-05-31,100,False
2020-06-07,26,False
2020-06-14,45,False
2020-06-21,21,False
2020-06-28,28,False
2020-07-05,27,False
