date,Rolladen,isPartial
2018-01-07,0,False
2018-01-14,56,False
2018-01-21,22,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,35,False
2018-03-04,33,False
2018-03-11,78,False
2018-03-18,34,False
2018-03-25,47,False
2018-04-01,49,False
2018-04-08,38,False
2018-04-15,27,False
2018-04-22,27,False
2018-04-29,25,False
2018-05-06,24,False
2018-05-13,22,False
2018-05-20,47,False
2018-05-27,49,False
2018-06-03,23,False
2018-06-10,44,False
2018-06-17,47,False
2018-06-24,23,False
2018-07-01,0,False
2018-07-08,34,False
2018-07-15,0,False
2018-07-22,36,False
2018-07-29,24,False
2018-08-05,23,False
2018-08-12,24,False
2018-08-19,46,False
2018-08-26,0,False
2018-09-02,35,False
2018-09-09,24,False
2018-09-16,0,False
2018-09-23,23,False
2018-09-30,25,False
2018-10-07,27,False
2018-10-14,0,False
2018-10-21,70,False
2018-10-28,25,False
2018-11-04,36,False
2018-11-11,56,False
2018-11-18,28,False
2018-11-25,42,False
2018-12-02,27,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,32,False
2018-12-30,23,False
2019-01-06,21,False
2019-01-13,21,False
2019-01-20,21,False
2019-01-27,21,False
2019-02-03,21,False
2019-02-10,43,False
2019-02-17,89,False
2019-02-24,43,False
2019-03-03,22,False
2019-03-10,22,False
2019-03-17,22,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,33,False
2019-04-14,0,False
2019-04-21,69,False
2019-04-28,22,False
2019-05-05,0,False
2019-05-12,31,False
2019-05-19,21,False
2019-05-26,21,False
2019-06-02,43,False
2019-06-09,22,False
2019-06-16,76,False
2019-06-23,44,False
2019-06-30,32,False
2019-07-07,31,False
2019-07-14,45,False
2019-07-21,23,False
2019-07-28,0,False
2019-08-04,35,False
2019-08-11,0,False
2019-08-18,22,False
2019-08-25,21,False
2019-09-01,0,False
2019-09-08,22,False
2019-09-15,0,False
2019-09-22,23,False
2019-09-29,21,False
2019-10-06,0,False
2019-10-13,36,False
2019-10-20,48,False
2019-10-27,23,False
2019-11-03,23,False
2019-11-10,0,False
2019-11-17,46,False
2019-11-24,0,False
2019-12-01,35,False
2019-12-08,23,False
2019-12-15,48,False
2019-12-22,26,False
2019-12-29,20,False
2020-01-05,0,False
2020-01-12,49,False
2020-01-19,21,False
2020-01-26,41,False
2020-02-02,57,False
2020-02-09,19,False
2020-02-16,44,False
2020-02-23,42,False
2020-03-01,21,False
2020-03-08,20,False
2020-03-15,0,False
2020-03-22,49,False
2020-03-29,0,False
2020-04-05,19,False
2020-04-12,27,False
2020-04-19,17,False
2020-04-26,26,False
2020-05-03,27,False
2020-05-10,19,False
2020-05-17,40,False
2020-05-24,19,False
2020-05-31,100,False
2020-06-07,40,False
2020-06-14,18,False
2020-06-21,20,False
2020-06-28,20,False
2020-07-05,22,False
