date,Cérémonies,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,24,False
2018-01-28,49,False
2018-02-04,24,False
2018-02-11,0,False
2018-02-18,26,False
2018-02-25,52,False
2018-03-04,49,False
2018-03-11,75,False
2018-03-18,50,False
2018-03-25,0,False
2018-04-01,25,False
2018-04-08,25,False
2018-04-15,80,False
2018-04-22,52,False
2018-04-29,26,False
2018-05-06,54,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,24,False
2018-06-03,24,False
2018-06-10,35,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,27,False
2018-07-22,0,False
2018-07-29,58,False
2018-08-05,31,False
2018-08-12,0,False
2018-08-19,29,False
2018-08-26,26,False
2018-09-02,0,False
2018-09-09,73,False
2018-09-16,24,False
2018-09-23,24,False
2018-09-30,49,False
2018-10-07,0,False
2018-10-14,47,False
2018-10-21,24,False
2018-10-28,0,False
2018-11-04,96,False
2018-11-11,92,False
2018-11-18,0,False
2018-11-25,24,False
2018-12-02,24,False
2018-12-09,0,False
2018-12-16,25,False
2018-12-23,61,False
2018-12-30,0,False
2019-01-06,49,False
2019-01-13,49,False
2019-01-20,24,False
2019-01-27,24,False
2019-02-03,0,False
2019-02-10,36,False
2019-02-17,98,False
2019-02-24,0,False
2019-03-03,24,False
2019-03-10,0,False
2019-03-17,49,False
2019-03-24,0,False
2019-03-31,38,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,28,False
2019-04-28,27,False
2019-05-05,27,False
2019-05-12,39,False
2019-05-19,76,False
2019-05-26,27,False
2019-06-02,94,False
2019-06-09,51,False
2019-06-16,0,False
2019-06-23,26,False
2019-06-30,0,False
2019-07-07,26,False
2019-07-14,28,False
2019-07-21,29,False
2019-07-28,31,False
2019-08-04,32,False
2019-08-11,34,False
2019-08-18,0,False
2019-08-25,42,False
2019-09-01,0,False
2019-09-08,25,False
2019-09-15,49,False
2019-09-22,48,False
2019-09-29,48,False
2019-10-06,37,False
2019-10-13,25,False
2019-10-20,25,False
2019-10-27,26,False
2019-11-03,24,False
2019-11-10,100,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,23,False
2019-12-08,24,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,27,False
2020-01-05,23,False
2020-01-12,0,False
2020-01-19,36,False
2020-01-26,24,False
2020-02-02,24,False
2020-02-09,36,False
2020-02-16,24,False
2020-02-23,0,False
2020-03-01,23,False
2020-03-08,45,False
2020-03-15,48,False
2020-03-22,0,False
2020-03-29,24,False
2020-04-05,24,False
2020-04-12,0,True
