date,Glasmanufaktur,isPartial
2018-01-07,49,False
2018-01-14,37,False
2018-01-21,37,False
2018-01-28,33,False
2018-02-04,35,False
2018-02-11,46,False
2018-02-18,34,False
2018-02-25,45,False
2018-03-04,28,False
2018-03-11,34,False
2018-03-18,27,False
2018-03-25,61,False
2018-04-01,41,False
2018-04-08,23,False
2018-04-15,42,False
2018-04-22,38,False
2018-04-29,36,False
2018-05-06,48,False
2018-05-13,23,False
2018-05-20,36,False
2018-05-27,24,False
2018-06-03,43,False
2018-06-10,19,False
2018-06-17,19,False
2018-06-24,23,False
2018-07-01,38,False
2018-07-08,34,False
2018-07-15,51,False
2018-07-22,39,False
2018-07-29,36,False
2018-08-05,27,False
2018-08-12,84,False
2018-08-19,39,False
2018-08-26,55,False
2018-09-02,43,False
2018-09-09,23,False
2018-09-16,31,False
2018-09-23,35,False
2018-09-30,69,False
2018-10-07,100,False
2018-10-14,58,False
2018-10-21,60,False
2018-10-28,45,False
2018-11-04,58,False
2018-11-11,34,False
2018-11-18,36,False
2018-11-25,59,False
2018-12-02,48,False
2018-12-09,59,False
2018-12-16,65,False
2018-12-23,48,False
2018-12-30,35,False
2019-01-06,49,False
2019-01-13,35,False
2019-01-20,24,False
2019-01-27,37,False
2019-02-03,39,False
2019-02-10,72,False
2019-02-17,36,False
2019-02-24,30,False
2019-03-03,32,False
2019-03-10,27,False
2019-03-17,48,False
2019-03-24,44,False
2019-03-31,33,False
2019-04-07,36,False
2019-04-14,36,False
2019-04-21,35,False
2019-04-28,36,False
2019-05-05,42,False
2019-05-12,40,False
2019-05-19,25,False
2019-05-26,37,False
2019-06-02,22,False
2019-06-09,11,False
2019-06-16,30,False
2019-06-23,19,False
2019-06-30,51,False
2019-07-07,25,False
2019-07-14,34,False
2019-07-21,32,False
2019-07-28,77,False
2019-08-04,62,False
2019-08-11,52,False
2019-08-18,22,False
2019-08-25,29,False
2019-09-01,29,False
2019-09-08,51,False
2019-09-15,55,False
2019-09-22,56,False
2019-09-29,53,False
2019-10-06,81,False
2019-10-13,66,False
2019-10-20,69,False
2019-10-27,61,False
2019-11-03,36,False
2019-11-10,40,False
2019-11-17,57,False
2019-11-24,56,False
2019-12-01,61,False
2019-12-08,65,False
2019-12-15,45,False
2019-12-22,59,False
2019-12-29,69,False
2020-01-05,42,False
2020-01-12,22,False
2020-01-19,19,False
2020-01-26,73,False
2020-02-02,44,False
2020-02-09,56,False
2020-02-16,68,False
2020-02-23,50,False
2020-03-01,31,False
2020-03-08,38,False
2020-03-15,20,False
2020-03-22,23,False
2020-03-29,21,False
2020-04-05,28,False
2020-04-12,18,False
2020-04-19,22,False
2020-04-26,23,False
2020-05-03,29,False
2020-05-10,20,False
