date,Waschmaschinen Service,isPartial
2018-01-07,32,False
2018-01-14,47,False
2018-01-21,0,False
2018-01-28,31,False
2018-02-04,64,False
2018-02-11,64,False
2018-02-18,32,False
2018-02-25,32,False
2018-03-04,32,False
2018-03-11,0,False
2018-03-18,32,False
2018-03-25,0,False
2018-04-01,34,False
2018-04-08,33,False
2018-04-15,34,False
2018-04-22,32,False
2018-04-29,100,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,33,False
2018-06-03,32,False
2018-06-10,31,False
2018-06-17,0,False
2018-06-24,33,False
2018-07-01,0,False
2018-07-08,32,False
2018-07-15,33,False
2018-07-22,0,False
2018-07-29,33,False
2018-08-05,33,False
2018-08-12,67,False
2018-08-19,66,False
2018-08-26,33,False
2018-09-02,0,False
2018-09-09,32,False
2018-09-16,0,False
2018-09-23,32,False
2018-09-30,32,False
2018-10-07,64,False
2018-10-14,0,False
2018-10-21,48,False
2018-10-28,93,False
2018-11-04,61,False
2018-11-11,31,False
2018-11-18,61,False
2018-11-25,31,False
2018-12-02,62,False
2018-12-09,62,False
2018-12-16,32,False
2018-12-23,73,False
2018-12-30,50,False
2019-01-06,30,False
2019-01-13,29,False
2019-01-20,0,False
2019-01-27,29,False
2019-02-03,0,False
2019-02-10,45,False
2019-02-17,61,False
2019-02-24,31,False
2019-03-03,30,False
2019-03-10,0,False
2019-03-17,93,False
2019-03-24,0,False
2019-03-31,62,False
2019-04-07,30,False
2019-04-14,33,False
2019-04-21,32,False
2019-04-28,76,False
2019-05-05,30,False
2019-05-12,31,False
2019-05-19,60,False
2019-05-26,62,False
2019-06-02,45,False
2019-06-09,31,False
2019-06-16,47,False
2019-06-23,62,False
2019-06-30,92,False
2019-07-07,0,False
2019-07-14,32,False
2019-07-21,50,False
2019-07-28,81,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,47,False
2019-08-25,31,False
2019-09-01,90,False
2019-09-08,61,False
2019-09-15,60,False
2019-09-22,59,False
2019-09-29,30,False
2019-10-06,30,False
2019-10-13,29,False
2019-10-20,44,False
2019-10-27,43,False
2019-11-03,28,False
2019-11-10,56,False
2019-11-17,28,False
2019-11-24,28,False
2019-12-01,42,False
2019-12-08,57,False
2019-12-15,87,False
2019-12-22,67,False
2019-12-29,31,False
2020-01-05,27,False
2020-01-12,26,False
2020-01-19,55,False
2020-01-26,26,False
2020-02-02,54,False
2020-02-09,26,False
2020-02-16,27,False
2020-02-23,54,False
2020-03-01,79,False
2020-03-08,74,False
2020-03-15,24,False
2020-03-22,0,False
2020-03-29,24,False
2020-04-05,0,False
2020-04-12,25,False
2020-04-19,49,False
2020-04-26,96,False
2020-05-03,0,False
2020-05-10,24,False
