date,alquiler limusina,isPartial
2018-01-07,93,False
2018-01-14,42,False
2018-01-21,83,False
2018-01-28,52,False
2018-02-04,0,False
2018-02-11,31,False
2018-02-18,52,False
2018-02-25,50,False
2018-03-04,60,False
2018-03-11,50,False
2018-03-18,83,False
2018-03-25,23,False
2018-04-01,53,False
2018-04-08,20,False
2018-04-15,31,False
2018-04-22,40,False
2018-04-29,42,False
2018-05-06,40,False
2018-05-13,52,False
2018-05-20,41,False
2018-05-27,81,False
2018-06-03,80,False
2018-06-10,49,False
2018-06-17,53,False
2018-06-24,42,False
2018-07-01,64,False
2018-07-08,63,False
2018-07-15,22,False
2018-07-22,54,False
2018-07-29,87,False
2018-08-05,22,False
2018-08-12,44,False
2018-08-19,45,False
2018-08-26,85,False
2018-09-02,20,False
2018-09-09,41,False
2018-09-16,61,False
2018-09-23,40,False
2018-09-30,51,False
2018-10-07,42,False
2018-10-14,40,False
2018-10-21,20,False
2018-10-28,21,False
2018-11-04,49,False
2018-11-11,69,False
2018-11-18,58,False
2018-11-25,30,False
2018-12-02,63,False
2018-12-09,42,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,34,False
2019-01-06,83,False
2019-01-13,79,False
2019-01-20,85,False
2019-01-27,57,False
2019-02-03,30,False
2019-02-10,30,False
2019-02-17,41,False
2019-02-24,40,False
2019-03-03,61,False
2019-03-10,41,False
2019-03-17,21,False
2019-03-24,41,False
2019-03-31,29,False
2019-04-07,29,False
2019-04-14,31,False
2019-04-21,30,False
2019-04-28,100,False
2019-05-05,58,False
2019-05-12,30,False
2019-05-19,29,False
2019-05-26,29,False
2019-06-02,28,False
2019-06-09,19,False
2019-06-16,50,False
2019-06-23,41,False
2019-06-30,61,False
2019-07-07,49,False
2019-07-14,82,False
2019-07-21,41,False
2019-07-28,0,False
2019-08-04,32,False
2019-08-11,86,False
2019-08-18,42,False
2019-08-25,69,False
2019-09-01,19,False
2019-09-08,47,False
2019-09-15,46,False
2019-09-22,55,False
2019-09-29,28,False
2019-10-06,28,False
2019-10-13,54,False
2019-10-20,27,False
2019-10-27,18,False
2019-11-03,18,False
2019-11-10,27,False
2019-11-17,18,False
2019-11-24,52,False
2019-12-01,0,False
2019-12-08,19,False
2019-12-15,27,False
2019-12-22,40,False
2019-12-29,60,False
2020-01-05,45,False
2020-01-12,34,False
2020-01-19,25,False
2020-01-26,52,False
2020-02-02,34,False
2020-02-09,34,False
2020-02-16,43,False
2020-02-23,25,False
2020-03-01,58,False
2020-03-08,32,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,15,False
2020-04-05,16,False
2020-04-12,0,True
