date,Elettronica,isPartial
2018-01-07,30,False
2018-01-14,27,False
2018-01-21,24,False
2018-01-28,26,False
2018-02-04,23,False
2018-02-11,26,False
2018-02-18,21,False
2018-02-25,19,False
2018-03-04,23,False
2018-03-11,25,False
2018-03-18,25,False
2018-03-25,19,False
2018-04-01,23,False
2018-04-08,22,False
2018-04-15,21,False
2018-04-22,19,False
2018-04-29,22,False
2018-05-06,23,False
2018-05-13,23,False
2018-05-20,27,False
2018-05-27,23,False
2018-06-03,27,False
2018-06-10,28,False
2018-06-17,25,False
2018-06-24,29,False
2018-07-01,22,False
2018-07-08,26,False
2018-07-15,22,False
2018-07-22,24,False
2018-07-29,22,False
2018-08-05,24,False
2018-08-12,15,False
2018-08-19,22,False
2018-08-26,21,False
2018-09-02,30,False
2018-09-09,26,False
2018-09-16,35,False
2018-09-23,35,False
2018-09-30,41,False
2018-10-07,49,False
2018-10-14,42,False
2018-10-21,50,False
2018-10-28,35,False
2018-11-04,45,False
2018-11-11,51,False
2018-11-18,65,False
2018-11-25,52,False
2018-12-02,58,False
2018-12-09,51,False
2018-12-16,54,False
2018-12-23,53,False
2018-12-30,80,False
2019-01-06,100,False
2019-01-13,75,False
2019-01-20,57,False
2019-01-27,58,False
2019-02-03,57,False
2019-02-10,47,False
2019-02-17,39,False
2019-02-24,42,False
2019-03-03,34,False
2019-03-10,31,False
2019-03-17,39,False
2019-03-24,33,False
2019-03-31,36,False
2019-04-07,37,False
2019-04-14,33,False
2019-04-21,23,False
2019-04-28,31,False
2019-05-05,32,False
2019-05-12,28,False
2019-05-19,27,False
2019-05-26,25,False
2019-06-02,32,False
2019-06-09,26,False
2019-06-16,28,False
2019-06-23,29,False
2019-06-30,28,False
2019-07-07,31,False
2019-07-14,27,False
2019-07-21,27,False
2019-07-28,30,False
2019-08-04,27,False
2019-08-11,19,False
2019-08-18,22,False
2019-08-25,25,False
2019-09-01,27,False
2019-09-08,26,False
2019-09-15,32,False
2019-09-22,32,False
2019-09-29,30,False
2019-10-06,31,False
2019-10-13,33,False
2019-10-20,29,False
2019-10-27,26,False
2019-11-03,30,False
2019-11-10,33,False
2019-11-17,32,False
2019-11-24,32,False
2019-12-01,30,False
2019-12-08,26,False
2019-12-15,28,False
2019-12-22,21,False
2019-12-29,23,False
2020-01-05,32,False
2020-01-12,28,False
2020-01-19,29,False
2020-01-26,25,False
2020-02-02,26,False
2020-02-09,24,False
2020-02-16,25,False
2020-02-23,22,False
2020-03-01,22,False
2020-03-08,20,False
2020-03-15,19,False
2020-03-22,20,False
2020-03-29,25,False
2020-04-05,21,False
2020-04-12,24,False
2020-04-19,21,False
2020-04-26,24,True
