date,Teppich Schneiden,isPartial
2018-01-07,24,False
2018-01-14,24,False
2018-01-21,24,False
2018-01-28,24,False
2018-02-04,24,False
2018-02-11,24,False
2018-02-18,24,False
2018-02-25,36,False
2018-03-04,24,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,77,False
2018-04-01,39,False
2018-04-08,100,False
2018-04-15,0,False
2018-04-22,24,False
2018-04-29,25,False
2018-05-06,26,False
2018-05-13,48,False
2018-05-20,26,False
2018-05-27,37,False
2018-06-03,24,False
2018-06-10,35,False
2018-06-17,48,False
2018-06-24,24,False
2018-07-01,0,False
2018-07-08,24,False
2018-07-15,25,False
2018-07-22,25,False
2018-07-29,25,False
2018-08-05,25,False
2018-08-12,25,False
2018-08-19,38,False
2018-08-26,49,False
2018-09-02,24,False
2018-09-09,24,False
2018-09-16,24,False
2018-09-23,24,False
2018-09-30,32,False
2018-10-07,24,False
2018-10-14,0,False
2018-10-21,24,False
2018-10-28,24,False
2018-11-04,35,False
2018-11-11,24,False
2018-11-18,46,False
2018-11-25,0,False
2018-12-02,47,False
2018-12-09,24,False
2018-12-16,24,False
2018-12-23,28,False
2018-12-30,42,False
2019-01-06,67,False
2019-01-13,22,False
2019-01-20,22,False
2019-01-27,29,False
2019-02-03,22,False
2019-02-10,34,False
2019-02-17,46,False
2019-02-24,47,False
2019-03-03,0,False
2019-03-10,52,False
2019-03-17,59,False
2019-03-24,0,False
2019-03-31,35,False
2019-04-07,23,False
2019-04-14,38,False
2019-04-21,24,False
2019-04-28,91,False
2019-05-05,23,False
2019-05-12,23,False
2019-05-19,23,False
2019-05-26,47,False
2019-06-02,0,False
2019-06-09,31,False
2019-06-16,24,False
2019-06-23,35,False
2019-06-30,0,False
2019-07-07,23,False
2019-07-14,24,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,37,False
2019-08-11,23,False
2019-08-18,0,False
2019-08-25,23,False
2019-09-01,23,False
2019-09-08,34,False
2019-09-15,46,False
2019-09-22,22,False
2019-09-29,0,False
2019-10-06,22,False
2019-10-13,33,False
2019-10-20,22,False
2019-10-27,66,False
2019-11-03,21,False
2019-11-10,32,False
2019-11-17,42,False
2019-11-24,0,False
2019-12-01,36,False
2019-12-08,21,False
2019-12-15,22,False
2019-12-22,33,False
2019-12-29,23,False
2020-01-05,0,False
2020-01-12,20,False
2020-01-19,31,False
2020-01-26,40,False
2020-02-02,41,False
2020-02-09,40,False
2020-02-16,0,False
2020-02-23,30,False
2020-03-01,40,False
2020-03-08,56,False
2020-03-15,18,False
2020-03-22,18,False
2020-03-29,18,False
2020-04-05,27,False
2020-04-12,38,False
2020-04-19,37,False
2020-04-26,36,False
2020-05-03,55,False
2020-05-10,28,False
