date,torta matrimonio,isPartial
2018-01-07,19,False
2018-01-14,37,False
2018-01-21,29,False
2018-01-28,0,False
2018-02-04,37,False
2018-02-11,41,False
2018-02-18,47,False
2018-02-25,18,False
2018-03-04,39,False
2018-03-11,19,False
2018-03-18,19,False
2018-03-25,30,False
2018-04-01,21,False
2018-04-08,50,False
2018-04-15,40,False
2018-04-22,52,False
2018-04-29,20,False
2018-05-06,38,False
2018-05-13,81,False
2018-05-20,59,False
2018-05-27,31,False
2018-06-03,31,False
2018-06-10,28,False
2018-06-17,39,False
2018-06-24,30,False
2018-07-01,39,False
2018-07-08,39,False
2018-07-15,61,False
2018-07-22,41,False
2018-07-29,21,False
2018-08-05,22,False
2018-08-12,0,False
2018-08-19,58,False
2018-08-26,32,False
2018-09-02,30,False
2018-09-09,58,False
2018-09-16,19,False
2018-09-23,29,False
2018-09-30,19,False
2018-10-07,20,False
2018-10-14,20,False
2018-10-21,20,False
2018-10-28,57,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,20,False
2018-12-02,21,False
2018-12-09,21,False
2018-12-16,21,False
2018-12-23,0,False
2018-12-30,21,False
2019-01-06,39,False
2019-01-13,29,False
2019-01-20,18,False
2019-01-27,0,False
2019-02-03,19,False
2019-02-10,0,False
2019-02-17,19,False
2019-02-24,19,False
2019-03-03,20,False
2019-03-10,28,False
2019-03-17,39,False
2019-03-24,100,False
2019-03-31,39,False
2019-04-07,29,False
2019-04-14,61,False
2019-04-21,21,False
2019-04-28,19,False
2019-05-05,28,False
2019-05-12,0,False
2019-05-19,56,False
2019-05-26,54,False
2019-06-02,0,False
2019-06-09,21,False
2019-06-16,40,False
2019-06-23,21,False
2019-06-30,32,False
2019-07-07,41,False
2019-07-14,21,False
2019-07-21,31,False
2019-07-28,31,False
2019-08-04,22,False
2019-08-11,23,False
2019-08-18,22,False
2019-08-25,39,False
2019-09-01,36,False
2019-09-08,19,False
2019-09-15,18,False
2019-09-22,35,False
2019-09-29,44,False
2019-10-06,19,False
2019-10-13,19,False
2019-10-20,27,False
2019-10-27,53,False
2019-11-03,17,False
2019-11-10,18,False
2019-11-17,35,False
2019-11-24,18,False
2019-12-01,19,False
2019-12-08,19,False
2019-12-15,0,False
2019-12-22,20,False
2019-12-29,39,False
2020-01-05,36,False
2020-01-12,52,False
2020-01-19,18,False
2020-01-26,17,False
2020-02-02,42,False
2020-02-09,0,False
2020-02-16,44,False
2020-02-23,16,False
2020-03-01,24,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,14,False
2020-03-29,0,False
2020-04-05,16,False
2020-04-12,23,False
2020-04-19,14,False
2020-04-26,25,True
