date,Torta matrimonio,isPartial
2018-01-07,23,False
2018-01-14,23,False
2018-01-21,23,False
2018-01-28,46,False
2018-02-04,67,False
2018-02-11,23,False
2018-02-18,23,False
2018-02-25,24,False
2018-03-04,24,False
2018-03-11,0,False
2018-03-18,24,False
2018-03-25,26,False
2018-04-01,54,False
2018-04-08,24,False
2018-04-15,0,False
2018-04-22,52,False
2018-04-29,25,False
2018-05-06,51,False
2018-05-13,0,False
2018-05-20,100,False
2018-05-27,26,False
2018-06-03,0,False
2018-06-10,23,False
2018-06-17,0,False
2018-06-24,36,False
2018-07-01,25,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,24,False
2018-07-29,94,False
2018-08-05,0,False
2018-08-12,23,False
2018-08-19,22,False
2018-08-26,23,False
2018-09-02,47,False
2018-09-09,48,False
2018-09-16,46,False
2018-09-23,47,False
2018-09-30,0,False
2018-10-07,24,False
2018-10-14,49,False
2018-10-21,37,False
2018-10-28,36,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,25,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,26,False
2018-12-16,0,False
2018-12-23,42,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,45,False
2019-02-10,0,False
2019-02-17,23,False
2019-02-24,23,False
2019-03-03,49,False
2019-03-10,0,False
2019-03-17,0,False
2019-03-24,24,False
2019-03-31,46,False
2019-04-07,24,False
2019-04-14,0,False
2019-04-21,25,False
2019-04-28,24,False
2019-05-05,0,False
2019-05-12,23,False
2019-05-19,47,False
2019-05-26,67,False
2019-06-02,24,False
2019-06-09,24,False
2019-06-16,0,False
2019-06-23,24,False
2019-06-30,49,False
2019-07-07,24,False
2019-07-14,47,False
2019-07-21,25,False
2019-07-28,24,False
2019-08-04,24,False
2019-08-11,36,False
2019-08-18,67,False
2019-08-25,43,False
2019-09-01,21,False
2019-09-08,22,False
2019-09-15,33,False
2019-09-22,56,False
2019-09-29,23,False
2019-10-06,22,False
2019-10-13,23,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,23,False
2019-11-17,0,False
2019-11-24,23,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,52,False
2019-12-29,25,False
2020-01-05,23,False
2020-01-12,44,False
2020-01-19,22,False
2020-01-26,22,False
2020-02-02,43,False
2020-02-09,0,False
2020-02-16,22,False
2020-02-23,22,False
2020-03-01,31,False
2020-03-08,19,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,18,False
2020-04-05,19,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,32,True
