date,Jardinier paysagiste,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,35,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,34,False
2018-03-04,34,False
2018-03-11,35,False
2018-03-18,0,False
2018-03-25,48,False
2018-04-01,62,False
2018-04-08,37,False
2018-04-15,61,False
2018-04-22,37,False
2018-04-29,37,False
2018-05-06,39,False
2018-05-13,73,False
2018-05-20,38,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,72,False
2018-06-17,38,False
2018-06-24,38,False
2018-07-01,73,False
2018-07-08,0,False
2018-07-15,58,False
2018-07-22,39,False
2018-07-29,40,False
2018-08-05,81,False
2018-08-12,41,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,57,False
2018-09-09,57,False
2018-09-16,39,False
2018-09-23,0,False
2018-09-30,37,False
2018-10-07,76,False
2018-10-14,39,False
2018-10-21,0,False
2018-10-28,38,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,37,False
2018-12-02,37,False
2018-12-09,37,False
2018-12-16,0,False
2018-12-23,41,False
2018-12-30,38,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,34,False
2019-01-27,0,False
2019-02-03,35,False
2019-02-10,35,False
2019-02-17,74,False
2019-02-24,48,False
2019-03-03,51,False
2019-03-10,0,False
2019-03-17,37,False
2019-03-24,35,False
2019-03-31,100,False
2019-04-07,34,False
2019-04-14,71,False
2019-04-21,0,False
2019-04-28,34,False
2019-05-05,100,False
2019-05-12,33,False
2019-05-19,34,False
2019-05-26,72,False
2019-06-02,0,False
2019-06-09,33,False
2019-06-16,0,False
2019-06-23,69,False
2019-06-30,35,False
2019-07-07,34,False
2019-07-14,35,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,36,False
2019-08-11,0,False
2019-08-18,39,False
2019-08-25,36,False
2019-09-01,33,False
2019-09-08,33,False
2019-09-15,33,False
2019-09-22,0,False
2019-09-29,50,False
2019-10-06,34,False
2019-10-13,67,False
2019-10-20,0,False
2019-10-27,53,False
2019-11-03,63,False
2019-11-10,31,False
2019-11-17,63,False
2019-11-24,61,False
2019-12-01,30,False
2019-12-08,30,False
2019-12-15,31,False
2019-12-22,34,False
2019-12-29,0,False
2020-01-05,31,False
2020-01-12,30,False
2020-01-19,45,False
2020-01-26,30,False
2020-02-02,30,False
2020-02-09,29,False
2020-02-16,29,False
2020-02-23,57,False
2020-03-01,29,False
2020-03-08,28,False
2020-03-15,55,False
2020-03-22,26,False
2020-03-29,27,False
2020-04-05,27,False
2020-04-12,0,False
2020-04-19,27,False
2020-04-26,51,False
2020-05-03,0,False
2020-05-10,27,False
2020-05-17,58,False
2020-05-24,72,False
2020-05-31,27,False
2020-06-07,41,False
2020-06-14,43,False
2020-06-21,0,True
