date,Jardinier paysagiste,isPartial
2018-01-07,0,False
2018-01-14,34,False
2018-01-21,34,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,34,False
2018-03-04,35,False
2018-03-11,0,False
2018-03-18,35,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,38,False
2018-04-22,0,False
2018-04-29,33,False
2018-05-06,34,False
2018-05-13,35,False
2018-05-20,35,False
2018-05-27,51,False
2018-06-03,33,False
2018-06-10,32,False
2018-06-17,35,False
2018-06-24,34,False
2018-07-01,0,False
2018-07-08,100,False
2018-07-15,0,False
2018-07-22,67,False
2018-07-29,0,False
2018-08-05,31,False
2018-08-12,32,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,34,False
2018-09-09,34,False
2018-09-16,34,False
2018-09-23,0,False
2018-09-30,35,False
2018-10-07,0,False
2018-10-14,71,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,35,False
2018-11-18,34,False
2018-11-25,0,False
2018-12-02,34,False
2018-12-09,35,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,34,False
2019-01-13,34,False
2019-01-20,33,False
2019-01-27,0,False
2019-02-03,68,False
2019-02-10,37,False
2019-02-17,37,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,36,False
2019-03-24,34,False
2019-03-31,30,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,30,False
2019-04-28,28,False
2019-05-05,29,False
2019-05-12,29,False
2019-05-19,0,False
2019-05-26,29,False
2019-06-02,27,False
2019-06-09,0,False
2019-06-16,29,False
2019-06-23,71,False
2019-06-30,55,False
2019-07-07,0,False
2019-07-14,54,False
2019-07-21,29,False
2019-07-28,30,False
2019-08-04,0,False
2019-08-11,29,False
2019-08-18,29,False
2019-08-25,0,False
2019-09-01,28,False
2019-09-08,28,False
2019-09-15,27,False
2019-09-22,26,False
2019-09-29,26,False
2019-10-06,28,False
2019-10-13,0,False
2019-10-20,28,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,27,False
2019-11-17,28,False
2019-11-24,27,False
2019-12-01,28,False
2019-12-08,27,False
2019-12-15,42,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,27,False
2020-01-12,0,False
2020-01-19,26,False
2020-01-26,26,False
2020-02-02,27,False
2020-02-09,0,False
2020-02-16,53,False
2020-02-23,26,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,24,False
2020-03-22,47,False
2020-03-29,0,False
2020-04-05,23,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,22,False
2020-05-03,23,False
2020-05-10,47,False
2020-05-17,51,False
2020-05-24,49,False
2020-05-31,0,False
2020-06-07,46,False
2020-06-14,36,False
2020-06-21,90,True
