date,Colegio Registradores,isPartial
2018-01-07,80,False
2018-01-14,56,False
2018-01-21,28,False
2018-01-28,40,False
2018-02-04,41,False
2018-02-11,28,False
2018-02-18,42,False
2018-02-25,26,False
2018-03-04,52,False
2018-03-11,64,False
2018-03-18,27,False
2018-03-25,45,False
2018-04-01,27,False
2018-04-08,52,False
2018-04-15,56,False
2018-04-22,27,False
2018-04-29,42,False
2018-05-06,40,False
2018-05-13,42,False
2018-05-20,28,False
2018-05-27,28,False
2018-06-03,40,False
2018-06-10,80,False
2018-06-17,43,False
2018-06-24,28,False
2018-07-01,98,False
2018-07-08,28,False
2018-07-15,57,False
2018-07-22,0,False
2018-07-29,55,False
2018-08-05,40,False
2018-08-12,54,False
2018-08-19,0,False
2018-08-26,27,False
2018-09-02,27,False
2018-09-09,40,False
2018-09-16,54,False
2018-09-23,53,False
2018-09-30,82,False
2018-10-07,27,False
2018-10-14,78,False
2018-10-21,53,False
2018-10-28,81,False
2018-11-04,26,False
2018-11-11,27,False
2018-11-18,50,False
2018-11-25,54,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,42,False
2018-12-23,32,False
2018-12-30,0,False
2019-01-06,28,False
2019-01-13,67,False
2019-01-20,25,False
2019-01-27,25,False
2019-02-03,27,False
2019-02-10,40,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,57,False
2019-03-17,41,False
2019-03-24,27,False
2019-03-31,26,False
2019-04-07,27,False
2019-04-14,39,False
2019-04-21,0,False
2019-04-28,27,False
2019-05-05,0,False
2019-05-12,55,False
2019-05-19,54,False
2019-05-26,40,False
2019-06-02,0,False
2019-06-09,0,False
2019-06-16,28,False
2019-06-23,27,False
2019-06-30,54,False
2019-07-07,67,False
2019-07-14,27,False
2019-07-21,83,False
2019-07-28,41,False
2019-08-04,27,False
2019-08-11,26,False
2019-08-18,26,False
2019-08-25,25,False
2019-09-01,100,False
2019-09-08,37,False
2019-09-15,38,False
2019-09-22,0,False
2019-09-29,25,False
2019-10-06,38,False
2019-10-13,50,False
2019-10-20,74,False
2019-10-27,49,False
2019-11-03,24,False
2019-11-10,60,False
2019-11-17,47,False
2019-11-24,47,False
2019-12-01,25,False
2019-12-08,0,False
2019-12-15,24,False
2019-12-22,66,False
2019-12-29,0,False
2020-01-05,50,False
2020-01-12,23,False
2020-01-19,22,False
2020-01-26,23,False
2020-02-02,23,False
2020-02-09,35,False
2020-02-16,23,False
2020-02-23,35,False
2020-03-01,23,False
2020-03-08,55,False
2020-03-15,41,False
2020-03-22,19,False
2020-03-29,78,False
2020-04-05,21,False
2020-04-12,34,True
