date,Colegio Registradores,isPartial
2018-01-07,48,False
2018-01-14,19,False
2018-01-21,56,False
2018-01-28,48,False
2018-02-04,57,False
2018-02-11,29,False
2018-02-18,29,False
2018-02-25,18,False
2018-03-04,0,False
2018-03-11,47,False
2018-03-18,57,False
2018-03-25,0,False
2018-04-01,39,False
2018-04-08,18,False
2018-04-15,19,False
2018-04-22,56,False
2018-04-29,38,False
2018-05-06,53,False
2018-05-13,75,False
2018-05-20,67,False
2018-05-27,28,False
2018-06-03,18,False
2018-06-10,53,False
2018-06-17,20,False
2018-06-24,19,False
2018-07-01,48,False
2018-07-08,19,False
2018-07-15,19,False
2018-07-22,58,False
2018-07-29,20,False
2018-08-05,30,False
2018-08-12,0,False
2018-08-19,43,False
2018-08-26,39,False
2018-09-02,66,False
2018-09-09,39,False
2018-09-16,46,False
2018-09-23,75,False
2018-09-30,75,False
2018-10-07,76,False
2018-10-14,37,False
2018-10-21,37,False
2018-10-28,48,False
2018-11-04,37,False
2018-11-11,65,False
2018-11-18,18,False
2018-11-25,19,False
2018-12-02,0,False
2018-12-09,19,False
2018-12-16,20,False
2018-12-23,0,False
2018-12-30,33,False
2019-01-06,58,False
2019-01-13,18,False
2019-01-20,27,False
2019-01-27,18,False
2019-02-03,37,False
2019-02-10,19,False
2019-02-17,66,False
2019-02-24,19,False
2019-03-03,37,False
2019-03-10,46,False
2019-03-17,19,False
2019-03-24,47,False
2019-03-31,18,False
2019-04-07,0,False
2019-04-14,20,False
2019-04-21,37,False
2019-04-28,35,False
2019-05-05,45,False
2019-05-12,44,False
2019-05-19,35,False
2019-05-26,17,False
2019-06-02,44,False
2019-06-09,18,False
2019-06-16,56,False
2019-06-23,19,False
2019-06-30,46,False
2019-07-07,18,False
2019-07-14,18,False
2019-07-21,47,False
2019-07-28,49,False
2019-08-04,0,False
2019-08-11,40,False
2019-08-18,0,False
2019-08-25,37,False
2019-09-01,53,False
2019-09-08,35,False
2019-09-15,34,False
2019-09-22,34,False
2019-09-29,42,False
2019-10-06,100,False
2019-10-13,25,False
2019-10-20,33,False
2019-10-27,17,False
2019-11-03,34,False
2019-11-10,51,False
2019-11-17,34,False
2019-11-24,25,False
2019-12-01,43,False
2019-12-08,61,False
2019-12-15,17,False
2019-12-22,40,False
2019-12-29,38,False
2020-01-05,52,False
2020-01-12,24,False
2020-01-19,47,False
2020-01-26,16,False
2020-02-02,33,False
2020-02-09,50,False
2020-02-16,16,False
2020-02-23,24,False
2020-03-01,39,False
2020-03-08,93,False
2020-03-15,16,False
2020-03-22,60,False
2020-03-29,30,False
2020-04-05,32,False
2020-04-12,26,True
