date,Treppenhaus streichen,isPartial
2018-01-07,21,False
2018-01-14,61,False
2018-01-21,21,False
2018-01-28,41,False
2018-02-04,64,False
2018-02-11,21,False
2018-02-18,21,False
2018-02-25,31,False
2018-03-04,21,False
2018-03-11,21,False
2018-03-18,42,False
2018-03-25,22,False
2018-04-01,45,False
2018-04-08,22,False
2018-04-15,44,False
2018-04-22,84,False
2018-04-29,22,False
2018-05-06,22,False
2018-05-13,42,False
2018-05-20,44,False
2018-05-27,22,False
2018-06-03,43,False
2018-06-10,31,False
2018-06-17,21,False
2018-06-24,21,False
2018-07-01,42,False
2018-07-08,21,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,44,False
2018-08-05,0,False
2018-08-12,33,False
2018-08-19,33,False
2018-08-26,22,False
2018-09-02,43,False
2018-09-09,32,False
2018-09-16,42,False
2018-09-23,21,False
2018-09-30,42,False
2018-10-07,21,False
2018-10-14,21,False
2018-10-21,41,False
2018-10-28,51,False
2018-11-04,40,False
2018-11-11,41,False
2018-11-18,30,False
2018-11-25,20,False
2018-12-02,20,False
2018-12-09,21,False
2018-12-16,21,False
2018-12-23,24,False
2018-12-30,43,False
2019-01-06,20,False
2019-01-13,19,False
2019-01-20,29,False
2019-01-27,0,False
2019-02-03,20,False
2019-02-10,20,False
2019-02-17,20,False
2019-02-24,20,False
2019-03-03,39,False
2019-03-10,29,False
2019-03-17,51,False
2019-03-24,30,False
2019-03-31,20,False
2019-04-07,30,False
2019-04-14,22,False
2019-04-21,64,False
2019-04-28,20,False
2019-05-05,0,False
2019-05-12,20,False
2019-05-19,40,False
2019-05-26,20,False
2019-06-02,30,False
2019-06-09,41,False
2019-06-16,62,False
2019-06-23,21,False
2019-06-30,20,False
2019-07-07,40,False
2019-07-14,0,False
2019-07-21,22,False
2019-07-28,0,False
2019-08-04,43,False
2019-08-11,20,False
2019-08-18,21,False
2019-08-25,100,False
2019-09-01,0,False
2019-09-08,40,False
2019-09-15,20,False
2019-09-22,20,False
2019-09-29,29,False
2019-10-06,39,False
2019-10-13,48,False
2019-10-20,19,False
2019-10-27,38,False
2019-11-03,36,False
2019-11-10,37,False
2019-11-17,18,False
2019-11-24,0,False
2019-12-01,19,False
2019-12-08,19,False
2019-12-15,0,False
2019-12-22,43,False
2019-12-29,20,False
2020-01-05,27,False
2020-01-12,35,False
2020-01-19,45,False
2020-01-26,71,False
2020-02-02,17,False
2020-02-09,17,False
2020-02-16,71,False
2020-02-23,17,False
2020-03-01,34,False
2020-03-08,33,False
2020-03-15,16,False
2020-03-22,24,False
2020-03-29,24,False
2020-04-05,26,False
2020-04-12,17,False
2020-04-19,32,False
2020-04-26,47,False
2020-05-03,16,False
2020-05-10,16,False
2020-05-17,0,True
