date,Heizungsbauer,isPartial
2018-01-07,76,False
2018-01-14,0,False
2018-01-21,56,False
2018-01-28,50,False
2018-02-04,0,False
2018-02-11,53,False
2018-02-18,78,False
2018-02-25,38,False
2018-03-04,39,False
2018-03-11,0,False
2018-03-18,79,False
2018-03-25,0,False
2018-04-01,41,False
2018-04-08,100,False
2018-04-15,63,False
2018-04-22,39,False
2018-04-29,41,False
2018-05-06,41,False
2018-05-13,39,False
2018-05-20,40,False
2018-05-27,39,False
2018-06-03,58,False
2018-06-10,0,False
2018-06-17,39,False
2018-06-24,0,False
2018-07-01,40,False
2018-07-08,80,False
2018-07-15,62,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,77,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,40,False
2018-09-02,40,False
2018-09-09,80,False
2018-09-16,40,False
2018-09-23,80,False
2018-09-30,62,False
2018-10-07,41,False
2018-10-14,0,False
2018-10-21,39,False
2018-10-28,0,False
2018-11-04,37,False
2018-11-11,0,False
2018-11-18,61,False
2018-11-25,38,False
2018-12-02,75,False
2018-12-09,38,False
2018-12-16,38,False
2018-12-23,41,False
2018-12-30,64,False
2019-01-06,72,False
2019-01-13,53,False
2019-01-20,36,False
2019-01-27,36,False
2019-02-03,36,False
2019-02-10,55,False
2019-02-17,0,False
2019-02-24,59,False
2019-03-03,37,False
2019-03-10,36,False
2019-03-17,0,False
2019-03-24,38,False
2019-03-31,38,False
2019-04-07,37,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,37,False
2019-05-05,70,False
2019-05-12,38,False
2019-05-19,37,False
2019-05-26,0,False
2019-06-02,37,False
2019-06-09,37,False
2019-06-16,58,False
2019-06-23,38,False
2019-06-30,38,False
2019-07-07,38,False
2019-07-14,39,False
2019-07-21,40,False
2019-07-28,79,False
2019-08-04,38,False
2019-08-11,36,False
2019-08-18,37,False
2019-08-25,72,False
2019-09-01,72,False
2019-09-08,56,False
2019-09-15,75,False
2019-09-22,53,False
2019-09-29,0,False
2019-10-06,72,False
2019-10-13,36,False
2019-10-20,35,False
2019-10-27,51,False
2019-11-03,44,False
2019-11-10,34,False
2019-11-17,44,False
2019-11-24,0,False
2019-12-01,34,False
2019-12-08,100,False
2019-12-15,68,False
2019-12-22,37,False
2019-12-29,35,False
2020-01-05,32,False
2020-01-12,78,False
2020-01-19,32,False
2020-01-26,52,False
2020-02-02,0,False
2020-02-09,31,False
2020-02-16,33,False
2020-02-23,63,False
2020-03-01,46,False
2020-03-08,29,False
2020-03-15,28,False
2020-03-22,28,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,29,False
2020-04-19,57,False
2020-04-26,68,False
2020-05-03,28,False
2020-05-10,29,False
