date,Rasen mähen,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,0,False
2018-02-18,28,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,27,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,30,False
2018-04-08,28,False
2018-04-15,81,False
2018-04-22,27,False
2018-04-29,29,False
2018-05-06,29,False
2018-05-13,28,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,42,False
2018-06-10,53,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,30,False
2018-07-15,0,False
2018-07-22,62,False
2018-07-29,97,False
2018-08-05,32,False
2018-08-12,33,False
2018-08-19,0,False
2018-08-26,29,False
2018-09-02,29,False
2018-09-09,57,False
2018-09-16,85,False
2018-09-23,0,False
2018-09-30,27,False
2018-10-07,26,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,28,False
2018-11-04,26,False
2018-11-11,25,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,0,False
2019-02-24,26,False
2019-03-03,53,False
2019-03-10,0,False
2019-03-17,0,False
2019-03-24,0,False
2019-03-31,27,False
2019-04-07,27,False
2019-04-14,30,False
2019-04-21,30,False
2019-04-28,27,False
2019-05-05,26,False
2019-05-12,0,False
2019-05-19,26,False
2019-05-26,68,False
2019-06-02,56,False
2019-06-09,29,False
2019-06-16,28,False
2019-06-23,28,False
2019-06-30,57,False
2019-07-07,0,False
2019-07-14,31,False
2019-07-21,0,False
2019-07-28,32,False
2019-08-04,32,False
2019-08-11,33,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,28,False
2019-09-15,53,False
2019-09-22,25,False
2019-09-29,25,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,25,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,24,False
2019-11-24,24,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,0,False
2020-01-19,0,False
2020-01-26,0,False
2020-02-02,0,False
2020-02-09,0,False
2020-02-16,24,False
2020-02-23,22,False
2020-03-01,22,False
2020-03-08,22,False
2020-03-15,23,False
2020-03-22,24,False
2020-03-29,25,False
2020-04-05,27,False
2020-04-12,26,False
2020-04-19,63,False
2020-04-26,77,False
2020-05-03,49,False
2020-05-10,0,False
2020-05-17,26,False
2020-05-24,24,False
2020-05-31,48,False
2020-06-07,24,False
2020-06-14,24,False
2020-06-21,24,False
2020-06-28,48,False
2020-07-05,100,False
