date,construction metier,isPartial
2018-01-07,51,False
2018-01-14,40,False
2018-01-21,30,False
2018-01-28,41,False
2018-02-04,30,False
2018-02-11,31,False
2018-02-18,32,False
2018-02-25,31,False
2018-03-04,46,False
2018-03-11,31,False
2018-03-18,31,False
2018-03-25,42,False
2018-04-01,53,False
2018-04-08,31,False
2018-04-15,33,False
2018-04-22,43,False
2018-04-29,32,False
2018-05-06,0,False
2018-05-13,31,False
2018-05-20,32,False
2018-05-27,30,False
2018-06-03,31,False
2018-06-10,30,False
2018-06-17,31,False
2018-06-24,0,False
2018-07-01,61,False
2018-07-08,53,False
2018-07-15,100,False
2018-07-22,33,False
2018-07-29,57,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,34,False
2018-08-26,65,False
2018-09-02,32,False
2018-09-09,32,False
2018-09-16,31,False
2018-09-23,47,False
2018-09-30,47,False
2018-10-07,63,False
2018-10-14,63,False
2018-10-21,64,False
2018-10-28,47,False
2018-11-04,61,False
2018-11-11,30,False
2018-11-18,30,False
2018-11-25,31,False
2018-12-02,72,False
2018-12-09,31,False
2018-12-16,42,False
2018-12-23,0,False
2018-12-30,34,False
2019-01-06,61,False
2019-01-13,62,False
2019-01-20,30,False
2019-01-27,30,False
2019-02-03,45,False
2019-02-10,62,False
2019-02-17,53,False
2019-02-24,31,False
2019-03-03,40,False
2019-03-10,30,False
2019-03-17,95,False
2019-03-24,63,False
2019-03-31,31,False
2019-04-07,47,False
2019-04-14,95,False
2019-04-21,31,False
2019-04-28,0,False
2019-05-05,46,False
2019-05-12,31,False
2019-05-19,45,False
2019-05-26,41,False
2019-06-02,29,False
2019-06-09,30,False
2019-06-16,46,False
2019-06-23,30,False
2019-06-30,61,False
2019-07-07,46,False
2019-07-14,93,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,33,False
2019-08-18,32,False
2019-08-25,0,False
2019-09-01,44,False
2019-09-08,29,False
2019-09-15,29,False
2019-09-22,28,False
2019-09-29,28,False
2019-10-06,29,False
2019-10-13,43,False
2019-10-20,57,False
2019-10-27,28,False
2019-11-03,56,False
2019-11-10,28,False
2019-11-17,42,False
2019-11-24,27,False
2019-12-01,55,False
2019-12-08,28,False
2019-12-15,42,False
2019-12-22,92,False
2019-12-29,30,False
2020-01-05,27,False
2020-01-12,79,False
2020-01-19,27,False
2020-01-26,27,False
2020-02-02,40,False
2020-02-09,0,False
2020-02-16,27,False
2020-02-23,39,False
2020-03-01,26,False
2020-03-08,51,False
2020-03-15,36,False
2020-03-22,36,False
2020-03-29,24,False
2020-04-05,24,False
2020-04-12,41,False
2020-04-19,36,False
2020-04-26,23,False
2020-05-03,46,False
2020-05-10,24,False
2020-05-17,0,True
