date,abiti da sposa,isPartial
2018-01-07,34,False
2018-01-14,57,False
2018-01-21,47,False
2018-01-28,70,False
2018-02-04,69,False
2018-02-11,84,False
2018-02-18,22,False
2018-02-25,54,False
2018-03-04,71,False
2018-03-11,23,False
2018-03-18,57,False
2018-03-25,49,False
2018-04-01,85,False
2018-04-08,36,False
2018-04-15,50,False
2018-04-22,51,False
2018-04-29,23,False
2018-05-06,59,False
2018-05-13,50,False
2018-05-20,60,False
2018-05-27,72,False
2018-06-03,58,False
2018-06-10,22,False
2018-06-17,71,False
2018-06-24,72,False
2018-07-01,48,False
2018-07-08,60,False
2018-07-15,36,False
2018-07-22,70,False
2018-07-29,23,False
2018-08-05,56,False
2018-08-12,31,False
2018-08-19,67,False
2018-08-26,67,False
2018-09-02,47,False
2018-09-09,37,False
2018-09-16,60,False
2018-09-23,85,False
2018-09-30,70,False
2018-10-07,62,False
2018-10-14,26,False
2018-10-21,38,False
2018-10-28,25,False
2018-11-04,37,False
2018-11-11,51,False
2018-11-18,62,False
2018-11-25,25,False
2018-12-02,26,False
2018-12-09,64,False
2018-12-16,27,False
2018-12-23,29,False
2018-12-30,49,False
2019-01-06,24,False
2019-01-13,50,False
2019-01-20,47,False
2019-01-27,36,False
2019-02-03,71,False
2019-02-10,48,False
2019-02-17,24,False
2019-02-24,49,False
2019-03-03,26,False
2019-03-10,25,False
2019-03-17,26,False
2019-03-24,26,False
2019-03-31,39,False
2019-04-07,51,False
2019-04-14,27,False
2019-04-21,40,False
2019-04-28,25,False
2019-05-05,25,False
2019-05-12,61,False
2019-05-19,50,False
2019-05-26,46,False
2019-06-02,52,False
2019-06-09,52,False
2019-06-16,51,False
2019-06-23,38,False
2019-06-30,38,False
2019-07-07,23,False
2019-07-14,61,False
2019-07-21,50,False
2019-07-28,36,False
2019-08-04,24,False
2019-08-11,22,False
2019-08-18,61,False
2019-08-25,100,False
2019-09-01,43,False
2019-09-08,23,False
2019-09-15,46,False
2019-09-22,22,False
2019-09-29,0,False
2019-10-06,45,False
2019-10-13,80,False
2019-10-20,33,False
2019-10-27,33,False
2019-11-03,21,False
2019-11-10,74,False
2019-11-17,22,False
2019-11-24,53,False
2019-12-01,65,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,24,False
2019-12-29,34,False
2020-01-05,64,False
2020-01-12,40,False
2020-01-19,83,False
2020-01-26,60,False
2020-02-02,58,False
2020-02-09,30,False
2020-02-16,41,False
2020-02-23,58,False
2020-03-01,47,False
2020-03-08,35,False
2020-03-15,18,False
2020-03-22,17,False
2020-03-29,26,False
2020-04-05,19,False
2020-04-12,38,False
2020-04-19,26,False
2020-04-26,32,True
