date,Granitfliesen,isPartial
2018-01-07,32,False
2018-01-14,63,False
2018-01-21,64,False
2018-01-28,42,False
2018-02-04,33,False
2018-02-11,65,False
2018-02-18,64,False
2018-02-25,0,False
2018-03-04,32,False
2018-03-11,0,False
2018-03-18,54,False
2018-03-25,34,False
2018-04-01,57,False
2018-04-08,32,False
2018-04-15,0,False
2018-04-22,32,False
2018-04-29,33,False
2018-05-06,50,False
2018-05-13,32,False
2018-05-20,34,False
2018-05-27,32,False
2018-06-03,54,False
2018-06-10,0,False
2018-06-17,31,False
2018-06-24,64,False
2018-07-01,47,False
2018-07-08,46,False
2018-07-15,33,False
2018-07-22,67,False
2018-07-29,85,False
2018-08-05,34,False
2018-08-12,34,False
2018-08-19,33,False
2018-08-26,65,False
2018-09-02,43,False
2018-09-09,43,False
2018-09-16,49,False
2018-09-23,66,False
2018-09-30,33,False
2018-10-07,49,False
2018-10-14,33,False
2018-10-21,44,False
2018-10-28,48,False
2018-11-04,31,False
2018-11-11,31,False
2018-11-18,61,False
2018-11-25,47,False
2018-12-02,46,False
2018-12-09,31,False
2018-12-16,0,False
2018-12-23,36,False
2018-12-30,67,False
2019-01-06,30,False
2019-01-13,44,False
2019-01-20,39,False
2019-01-27,44,False
2019-02-03,0,False
2019-02-10,30,False
2019-02-17,61,False
2019-02-24,31,False
2019-03-03,45,False
2019-03-10,29,False
2019-03-17,46,False
2019-03-24,0,False
2019-03-31,30,False
2019-04-07,62,False
2019-04-14,67,False
2019-04-21,65,False
2019-04-28,46,False
2019-05-05,30,False
2019-05-12,31,False
2019-05-19,61,False
2019-05-26,63,False
2019-06-02,30,False
2019-06-09,52,False
2019-06-16,47,False
2019-06-23,47,False
2019-06-30,30,False
2019-07-07,30,False
2019-07-14,32,False
2019-07-21,35,False
2019-07-28,50,False
2019-08-04,33,False
2019-08-11,32,False
2019-08-18,32,False
2019-08-25,41,False
2019-09-01,30,False
2019-09-08,31,False
2019-09-15,31,False
2019-09-22,30,False
2019-09-29,30,False
2019-10-06,44,False
2019-10-13,90,False
2019-10-20,40,False
2019-10-27,44,False
2019-11-03,28,False
2019-11-10,29,False
2019-11-17,0,False
2019-11-24,55,False
2019-12-01,28,False
2019-12-08,57,False
2019-12-15,0,False
2019-12-22,33,False
2019-12-29,0,False
2020-01-05,27,False
2020-01-12,35,False
2020-01-19,46,False
2020-01-26,27,False
2020-02-02,0,False
2020-02-09,26,False
2020-02-16,27,False
2020-02-23,26,False
2020-03-01,26,False
2020-03-08,0,False
2020-03-15,25,False
2020-03-22,25,False
2020-03-29,24,False
2020-04-05,27,False
2020-04-12,25,False
2020-04-19,50,False
2020-04-26,24,False
2020-05-03,25,False
2020-05-10,100,False
