date,partecipazioni matrimonio,isPartial
2018-01-07,31,False
2018-01-14,55,False
2018-01-21,39,False
2018-01-28,79,False
2018-02-04,100,False
2018-02-11,40,False
2018-02-18,24,False
2018-02-25,41,False
2018-03-04,33,False
2018-03-11,17,False
2018-03-18,0,False
2018-03-25,27,False
2018-04-01,56,False
2018-04-08,25,False
2018-04-15,17,False
2018-04-22,36,False
2018-04-29,60,False
2018-05-06,26,False
2018-05-13,67,False
2018-05-20,17,False
2018-05-27,35,False
2018-06-03,35,False
2018-06-10,32,False
2018-06-17,49,False
2018-06-24,25,False
2018-07-01,34,False
2018-07-08,42,False
2018-07-15,17,False
2018-07-22,33,False
2018-07-29,16,False
2018-08-05,47,False
2018-08-12,32,False
2018-08-19,15,False
2018-08-26,32,False
2018-09-02,24,False
2018-09-09,33,False
2018-09-16,31,False
2018-09-23,32,False
2018-09-30,16,False
2018-10-07,33,False
2018-10-14,17,False
2018-10-21,17,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,35,False
2018-11-18,17,False
2018-11-25,17,False
2018-12-02,36,False
2018-12-09,26,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,43,False
2019-01-06,65,False
2019-01-13,82,False
2019-01-20,31,False
2019-01-27,32,False
2019-02-03,31,False
2019-02-10,39,False
2019-02-17,24,False
2019-02-24,32,False
2019-03-03,25,False
2019-03-10,24,False
2019-03-17,24,False
2019-03-24,33,False
2019-03-31,16,False
2019-04-07,16,False
2019-04-14,25,False
2019-04-21,0,False
2019-04-28,41,False
2019-05-05,56,False
2019-05-12,39,False
2019-05-19,24,False
2019-05-26,15,False
2019-06-02,16,False
2019-06-09,17,False
2019-06-16,26,False
2019-06-23,17,False
2019-06-30,17,False
2019-07-07,17,False
2019-07-14,65,False
2019-07-21,17,False
2019-07-28,17,False
2019-08-04,0,False
2019-08-11,16,False
2019-08-18,38,False
2019-08-25,44,False
2019-09-01,15,False
2019-09-08,31,False
2019-09-15,15,False
2019-09-22,15,False
2019-09-29,47,False
2019-10-06,0,False
2019-10-13,24,False
2019-10-20,15,False
2019-10-27,16,False
2019-11-03,30,False
2019-11-10,0,False
2019-11-17,64,False
2019-11-24,0,False
2019-12-01,48,False
2019-12-08,32,False
2019-12-15,0,False
2019-12-22,18,False
2019-12-29,17,False
2020-01-05,31,False
2020-01-12,30,False
2020-01-19,38,False
2020-01-26,38,False
2020-02-02,0,False
2020-02-09,46,False
2020-02-16,61,False
2020-02-23,15,False
2020-03-01,21,False
2020-03-08,13,False
2020-03-15,19,False
2020-03-22,24,False
2020-03-29,25,False
2020-04-05,26,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,22,True
